factor,n,p_value,spearman_rho
local_feature_count,31,0.01800501059424172,0.42213192831079854
evaluated_hypothesis_count,31,0.9956870647117098,-0.0010124627688849152
cluster_size,31,0.25574655579491773,-0.21047427534606122
correspondence_count,31,0.33257466466823526,0.1799968629747432
selected_fraction,31,0.056033628046110964,-0.3467024671985317
terrain_mae_m,31,5.117089879149876e-05,0.6612903225806452
overlap,31,0.023269193497061046,-0.40645161290322585
correspondence_xy_rmse_m,31,0.0011054131551958269,0.5580645161290323
correspondence_z_rmse_m,31,8.792560993510406e-06,0.7068548387096775
heading_error_deg,31,0.9605084692954179,0.009274193548387096
median_sigma_z_m,31,0.2393153966834326,-0.217741935483871
median_feature_range_m,31,1.8407982171367082e-05,0.6887096774193548
