cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,feature_count_npz,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,log10_hypotheses,median_abs_elevation_angle_deg,median_feature_range_m,median_sigma_z_m,moga_delta_error_m,moga_xy_error_m,overlap,profile,ransac_delta_error_m,ransac_xy_error_m,runtime_s,selected_fraction,site,status,terrain_mae_m,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
,,,,,,,,,,,,,,1,,,,,,-0.016074124752462313,1,0.0,2.508429894214113,23.617392955193,0.5982920833155225,nan,nan,,0p25m,nan,nan,,0.0,2,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,0,,,,,,2.8178919137656173,0,0.0,nan,nan,nan,nan,nan,,0p25m,nan,nan,,0,9,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-1.1715860802315958,1,0.0,3.046049661402555,20.63446752402397,0.6397524826521229,nan,nan,,0p25m,nan,nan,,0.0,10,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-1.3325228097069708,1,0.0,2.948044215079793,21.392901860196528,0.6318073742845995,nan,nan,,0p25m,nan,nan,,0.0,12,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-0.656672489798474,1,0.0,2.552151898975437,29.298570784254988,0.6014603079501365,nan,nan,,0p25m,nan,nan,,0.0,20,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,-0.10589940185594611,2,0.0,2.3827151794582395,26.363798410714008,0.5906467369803727,nan,nan,,0p25m,nan,nan,,0.0,26,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,0,,,,,,-0.06391904233262571,0,0.0,nan,nan,nan,nan,nan,,0p25m,nan,nan,,0,36,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,0,,,,,,0.051932943314520294,0,0.0,nan,nan,nan,nan,nan,,0p25m,nan,nan,,0,48,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-4.3289440250794025,1,0.0,2.8017152650374237,19.102519467337288,0.6202544773622621,nan,nan,,0p25m,nan,nan,,0.0,51,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-0.2337594858298045,1,0.0,2.060663024589891,21.187407816908607,0.5681747468569817,nan,nan,,0p25m,nan,nan,,0.0,54,skipped_insufficient_features,nan,,,,,
