cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,feature_count_npz,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,log10_hypotheses,median_abs_elevation_angle_deg,median_feature_range_m,median_sigma_z_m,moga_delta_error_m,moga_xy_error_m,overlap,profile,ransac_delta_error_m,ransac_xy_error_m,runtime_s,selected_fraction,site,stage_to_dem_vertical_offset_m,status,terrain_mae_m,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
2,0,inf,inf,4,"[54, 57, 52, 59]","[1, 2, 0, 3]",1.4721342746693444,0.09752720791232918,20.151023358737394,651.0677616614869,-5510.037378408307,-1006.951428681612,2,4,-0.36757317237395776,raw_lidar_xy_decimated,32983,0.125,1.2654100663333736,21.41643342507076,4,0.3010299956639812,1.1310713087556181,55.63910882786867,0.5100016544470285,0.5238312694833707,2.816419914643532,1.0,0p25m,0.0,2.292588645160161,0.04995693099044729,1.0,10,-1006.809,solution,0.36757317237395776,653.0653666970207,-5508.912417601022,-1006.8656099911697,-0.05660999116964427,2.292588645160161,0.08581869044235191
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,31288,0.125,,45.4146948200915,3,0.0,1.415515332744842,55.05480224285616,0.5150389642718728,nan,,,0p25m,nan,nan,0.023568489006720483,0.0,13,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,31022,0.125,,44.5554176231704,3,0.0,1.6513284090498928,53.679896143714736,0.520363263498502,nan,,,0p25m,nan,nan,0.02368321400717832,0.0,14,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,4,,raw_lidar_xy_decimated,32663,0.125,,44.95433990952211,4,0.0,1.6289001398147946,32.753696365318746,0.527614029680443,nan,,,0p25m,nan,nan,0.04517739999573678,0.0,16,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,31401,0.125,,44.80020466290187,3,0.0,1.3169811122206776,50.25715123243656,0.5130430430419967,nan,,,0p25m,nan,nan,0.02199560399458278,0.0,18,,no_solution,nan,,,,,,
2,0,inf,inf,4,"[55, 54, 52, 59]","[2, 1, 0, 3]",3.8034961238098157,0.27117285393185353,46.08112689753142,660.3544858245212,-5501.758038768861,-1006.6164435148239,2,4,-0.2864751560149749,raw_lidar_xy_decimated,29468,0.125,1.064707864312055,45.01641903321937,4,0.3010299956639812,2.374624313249134,28.789383561094123,0.5445290717373228,-0.5916974996022812,2.400405747030397,1.0,0p25m,-0.46206265621553655,2.530040590417142,0.041853040995192714,1.0,23,-1006.809,solution,0.2864751560149749,662.4121236448009,-5499.585756918119,-1006.676345770627,0.1326542293730154,2.9921032466326785,0.05990225580308106
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,33391,0.125,,19.355451073282893,3,0.0,3.1977236775246203,12.053267191927672,0.5727417778166259,nan,,,0p25m,nan,nan,0.02087958100310061,0.0,24,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,32100,0.125,,-0.16667110086677617,3,0.0,2.6456007430672854,10.162738312088923,0.5507974541674903,nan,,,0p25m,nan,nan,0.0013186739961383864,0.0,30,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,31825,0.125,,43.54897219830171,3,0.0,1.9979445208516688,11.93864523302372,0.52955058358494,nan,,,0p25m,nan,nan,0.0012969579984201118,0.0,33,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,5,,raw_lidar_xy_decimated,34675,0.125,,-10.645208482925279,5,0.0,1.5092098990219722,20.95008949861551,0.5170626794909625,nan,,,0p25m,nan,nan,0.04496624300372787,0.0,36,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,35555,0.125,,0.9894447322646083,3,0.0,1.4054786604618263,12.063633366444787,0.5148294296012355,nan,,,0p25m,nan,nan,0.0013569389993790537,0.0,39,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,5,,raw_lidar_xy_decimated,37382,0.125,,0.07915359413011744,5,0.0,1.4376538844744033,24.998124929682227,0.5155061219894713,nan,,,0p25m,nan,nan,0.04659261398774106,0.0,41,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,4,,raw_lidar_xy_decimated,35987,0.125,,29.259795057386466,4,0.0,1.036849801630022,21.280591796011862,0.5096677408956174,nan,,,0p25m,nan,nan,0.03137136000441387,0.0,43,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,32636,0.125,,-2.2412983266538062,3,0.0,2.7714797757841967,23.93023714884581,0.5555054347064554,nan,,,0p25m,nan,nan,0.0012585929944179952,0.0,53,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,2,,,,,,-7.701112172122993,2,0.0,1.558284058667088,22.461519065259136,0.5334149202323899,nan,,,0p25m,nan,nan,,0.0,54,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,24456,0.125,,44.58257406094856,3,0.0,4.315928227594748,32.276636286949106,0.6264126864088848,nan,,,0p25m,nan,nan,0.0013308509951457381,0.0,61,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,28236,0.125,,-11.690018913226197,3,0.0,4.451010335288775,36.82942098377328,0.6336262580707038,nan,,,0p25m,nan,nan,0.0013942369987489656,0.0,66,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,28774,0.125,,0.3301456481838429,3,0.0,3.1876540217504683,35.79149689521242,0.572312370965488,nan,,,0p25m,nan,nan,0.001319204005994834,0.0,69,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,2,,,,,,-0.1397815874948478,2,0.0,2.247921746437937,23.266638884474734,0.5511052823398482,nan,,,0p25m,nan,nan,,0.0,70,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,2,,,,,,-0.3085181092122478,2,0.0,3.5109257940667176,39.564552481039065,0.618778334291114,nan,,,0p25m,nan,nan,,0.0,71,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,2,,,,,,0.1682355351773335,2,0.0,1.0344333822989045,23.439573964533054,0.5087730684759675,nan,,,0p25m,nan,nan,,0.0,72,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,40406,0.125,,-0.4189489949718158,3,0.0,0.8758380877652654,44.66437338640272,0.5058089090767063,nan,,,0p25m,nan,nan,0.017681601995718665,0.0,73,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,2,,,,,,-1.1292826878834028,2,0.0,1.310194802369565,52.249571308283564,0.5129106377148351,nan,,,0p25m,nan,nan,,0.0,76,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,2,,,,,,-0.977764438375635,2,0.0,4.103256511506808,37.6139421240341,0.6455364134543538,nan,,,0p25m,nan,nan,,0.0,77,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,32462,0.125,,0.8071539751741564,3,0.0,2.0088822264013246,27.868553066135313,0.5298661297136322,nan,,,0p25m,nan,nan,0.0012347680021775886,0.0,79,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,1,,,,,,0.7635348912758074,1,0.0,1.5779169107329623,48.44487847027795,0.5186238217866868,nan,,,0p25m,nan,nan,,0.0,80,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,2,,,,,,0.3186492843369334,2,0.0,2.613080640522176,43.849782786462825,0.5510651619932666,nan,,,0p25m,nan,nan,,0.0,82,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,29784,0.125,,-0.3522399068460678,3,0.0,1.6454212716196757,52.38588788977428,0.5202205844955435,nan,,,0p25m,nan,nan,0.001242532001924701,0.0,83,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,30826,0.125,,-0.3453293507419563,3,0.0,3.826753174799282,23.165842311472293,0.6015423769427622,nan,,,0p25m,nan,nan,0.0014659919979749247,0.0,84,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,2,,,,,,0.22409871341562324,2,0.0,3.458580146200128,35.77803917639182,0.5917764135900789,nan,,,0p25m,nan,nan,,0.0,87,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,2,,,,,,-0.001453835467480003,2,0.0,3.5787787089696397,37.26488625864225,0.5994338791388311,nan,,,0p25m,nan,nan,,0.0,88,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,2,,,,,,-0.1696399900727368,2,0.0,2.536111084666957,63.365303944502344,0.5469580216729464,nan,,,0p25m,nan,nan,,0.0,90,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,2,,,,,,0.13388442503061293,2,0.0,3.9669050290290686,43.193772968557106,0.614878816263474,nan,,,0p25m,nan,nan,,0.0,97,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,42452,0.125,,-0.016346699993469542,3,0.0,2.9653779242934517,67.631584707147,0.5631037578656979,nan,,,0p25m,nan,nan,0.02032274600060191,0.0,98,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,40068,0.125,,0.4457712235792012,3,0.0,5.65252373145681,43.5577920698467,0.7034973494635552,nan,,,0p25m,nan,nan,0.001229251007316634,0.0,100,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,39894,0.125,,-0.09070152651350882,3,0.0,3.2938157306283546,71.9272636070635,0.5768916081328148,nan,,,0p25m,nan,nan,0.018389696997473948,0.0,103,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,2,,,,,,0.5353604626810283,2,0.0,4.708486471506834,57.36713638409929,0.6567062681810375,nan,,,0p25m,nan,nan,,0.0,104,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,4,,raw_lidar_xy_decimated,18956,0.125,,10.224014118555395,4,0.0,3.665956974859755,70.54487743109078,0.5959643210306367,nan,,,0p25m,nan,nan,0.001319180999416858,0.0,105,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,42573,0.125,,-5.4984406956167975,3,0.0,3.622462027847626,74.88011251327018,0.5917756422524109,nan,,,0p25m,nan,nan,0.018049542006338015,0.0,106,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,2,,,,,,-5.527717642721197,2,0.0,5.009791584714086,55.29139525251475,0.673118279195595,nan,,,0p25m,nan,nan,,0.0,107,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,2,,,,,,0.17549991037541424,2,0.0,4.868440118389764,56.586576320451854,0.6657520492476641,nan,,,0p25m,nan,nan,,0.0,110,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,44773,0.125,,0.4013755049303118,3,0.0,3.7912791890893214,82.924853029716,0.5998191791055786,nan,,,0p25m,nan,nan,0.01920350900036283,0.0,113,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,4,,raw_lidar_xy_decimated,36751,0.125,,1.0140002198286726,4,0.0,5.409025554816905,66.74393171421399,0.6901091476239467,nan,,,0p25m,nan,nan,0.03367843599698972,0.0,116,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,2,,,,,,-0.10116940700685847,2,0.0,6.445707944413437,54.668258758960526,0.7544463169839997,nan,,,0p25m,nan,nan,,0.0,121,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,4,,raw_lidar_xy_decimated,35633,0.125,,-0.2270786969332281,4,0.0,5.653901832775229,71.51541385754619,0.7051030322854948,nan,,,0p25m,nan,nan,0.018834597009117715,0.0,122,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,1,,,,,,-0.23968345675788988,1,0.0,5.777465943055696,47.80330793993236,0.7112872486480355,nan,,,0p25m,nan,nan,,0.0,123,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,40434,0.125,,0.999109564094237,3,0.0,6.473078371659792,69.76231970053747,0.7561926864355564,nan,,,0p25m,nan,nan,0.00121557799866423,0.0,128,,no_solution,nan,,,,,,
,,,,,,,,,,,,,,1,,,,,,-0.2911486619980697,1,0.0,6.767569375637906,72.47607363813246,0.7759231958179578,nan,,,0p25m,nan,nan,,0.0,132,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,2,,,,,,-0.1834522893526085,2,0.0,6.02669365092426,82.74347638428937,0.7279175902754269,nan,,,0p25m,nan,nan,,0.0,134,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,1,,,,,,-28.37816933253156,1,0.0,6.739963832828303,79.29080179945213,0.774056784284499,nan,,,0p25m,nan,nan,,0.0,138,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,2,,,,,,-51.36699962412441,2,0.0,6.122136801673248,89.31379426836551,0.7337564248115308,nan,,,0p25m,nan,nan,,0.0,139,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-50.19953007293755,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,140,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-0.041409577231133726,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,146,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-0.08029335980524611,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,147,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,0.09430013246914419,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,149,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,1,,,,,,-0.2464566338975055,1,0.0,7.403545808755259,89.14051407749453,0.819824213650419,nan,,,0p25m,nan,nan,,0.0,150,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,0.3265598767191461,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,151,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-0.001214105516800747,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,156,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,0.04252251845663024,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,157,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-0.10491516470180341,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,158,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,0.03438748729898099,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,159,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-0.9253907114125379,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,161,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-1.007605617047581,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,162,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-51.6079892466221,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,164,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-47.749698636822885,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,165,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-27.649919026529766,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,168,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,0.11832103500359865,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,169,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-0.22209378960778053,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,172,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-47.31333153584155,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,175,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,1,,,,,,-44.92199332715446,1,0.0,7.3846281727584335,117.04873450832349,0.8184945214285096,nan,,,0p25m,nan,nan,,0.0,177,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-45.158954144236574,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,180,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,1,,,,,,-45.05965179376306,1,0.0,8.325612581236586,28.996228202992196,0.886222699885019,nan,,,0p25m,nan,nan,,0.0,181,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,1,,,,,,-1.3980974349744029,1,0.0,8.555353758527652,24.734212136229445,0.9032142744191728,nan,,,0p25m,nan,nan,,0.0,187,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-45.04879182873569,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,194,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,1,,,,,,-44.63189395561606,1,0.0,7.675793541300483,18.44671379948201,0.8391116425202846,nan,,,0p25m,nan,nan,,0.0,195,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-19.755018122705007,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,198,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-43.35935116504697,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,199,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-51.920002781545676,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,200,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-17.736053185170473,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,201,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-25.06032227546084,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,203,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-53.63188288352155,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,204,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-44.58542508273986,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,208,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-44.493046080957896,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,209,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-45.004129897932444,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,211,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-45.226195919365196,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,212,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-45.1445106478819,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,213,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-45.24332247813931,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,215,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,-44.923426990035885,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,216,,skipped_insufficient_features,nan,,,,,,
,,,,,,,,,,,,,,0,,,,,,4.497228635513646,0,0.0,nan,nan,nan,nan,,,0p25m,nan,nan,,0,218,,skipped_insufficient_features,nan,,,,,,
