site,valid_grid_cells,feature_count,has_three_features,has_noncollinear_triplet
1,301,7,True,True
2,250,8,True,True
3,393,10,True,True
4,219,10,True,True
5,232,8,True,True
6,477,11,True,True
7,205,5,True,True
8,125,2,False,False
9,104,1,False,False
10,218,3,True,True
11,258,7,True,True
12,305,9,True,True
13,293,5,True,True
14,393,12,True,True
15,316,7,True,True
16,135,7,True,True
17,191,5,True,True
18,246,12,True,True
19,132,8,True,True
20,287,18,True,True
21,151,5,True,True
22,196,9,True,True
23,232,14,True,True
24,277,3,True,True
25,222,6,True,True
26,220,6,True,True
27,264,10,True,True
28,328,10,True,True
