site,valid_grid_cells,feature_count,has_three_features,has_noncollinear_triplet
1,4338,6,True,True
2,4032,6,True,True
3,7764,6,True,True
4,4491,2,False,False
5,4495,1,False,False
6,9906,6,True,True
7,6546,1,False,False
8,5847,1,False,False
9,6037,1,False,False
10,7084,1,False,False
11,6797,1,False,False
12,6420,4,True,True
13,4918,2,False,False
14,5729,8,True,True
15,5088,7,True,True
16,2897,2,False,False
17,4762,7,True,True
18,4306,7,True,True
19,3112,2,False,False
20,5792,8,True,True
21,4586,2,False,False
22,5280,4,True,True
23,4478,7,True,True
24,9012,2,False,False
25,7703,2,False,False
26,4010,7,True,True
27,4287,5,True,True
28,4688,7,True,True
