site,valid_grid_cells,feature_count,has_three_features,has_noncollinear_triplet
1,1515,2,False,False
2,1375,3,True,True
3,1917,4,True,True
4,1431,6,True,True
5,1582,6,True,True
6,559,2,False,False
7,1115,3,True,True
8,1021,1,False,False
9,614,2,False,False
10,1327,7,True,True
11,1216,1,False,False
12,934,1,False,False
13,2027,3,True,True
14,965,5,True,True
15,2384,4,True,True
16,2138,2,False,False
17,1440,2,False,False
18,1445,3,True,True
19,1983,3,True,True
20,1517,3,True,True
21,1298,2,False,False
22,1921,5,True,True
23,978,2,False,False
24,1230,2,False,False
25,859,2,False,False
26,1018,1,False,False
27,1355,2,False,False
28,1523,3,True,True
