fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_measurement_deg,local_feature_count,runtime_s,site,status
raw_lidar_xy_decimated,20373,0.125,-39.71688393994657,3,0.41152686599525623,12,no_solution
raw_lidar_xy_decimated,27149,0.125,-39.84202365654841,3,0.0010182319965679199,17,no_solution
,,,-39.02259493674172,1,,18,skipped_insufficient_features
,,,-38.27391643548647,1,,20,skipped_insufficient_features
,,,-39.267137363970704,2,,22,skipped_insufficient_features
,,,-39.39300905701032,1,,23,skipped_insufficient_features
raw_lidar_xy_decimated,33949,0.125,-38.77604678854181,4,1.485514404004789,30,no_solution
,,,-36.41550851501793,1,,38,skipped_insufficient_features
,,,-40.713282001243165,2,,43,skipped_insufficient_features
,,,-40.165472451576946,1,,44,skipped_insufficient_features
,,,-40.66108139864205,1,,45,skipped_insufficient_features
,,,-40.94042934455417,1,,46,skipped_insufficient_features
,,,-38.24230812800141,1,,49,skipped_insufficient_features
,,,-38.97099921389206,1,,53,skipped_insufficient_features
raw_lidar_xy_decimated,36539,0.125,-39.52790348528501,3,0.33469532399612945,55,no_solution
,,,-38.38421724166335,0,,57,skipped_insufficient_features
,,,-39.203507135047,0,,67,skipped_insufficient_features
,,,-39.0466846626355,0,,71,skipped_insufficient_features
,,,-39.32090223391184,0,,75,skipped_insufficient_features
,,,-44.14916288918656,0,,89,skipped_insufficient_features
,,,-44.45501928550962,0,,90,skipped_insufficient_features
,,,-45.579757922123385,0,,92,skipped_insufficient_features
,,,-38.17311823703593,2,,93,skipped_insufficient_features
,,,-43.53971974811264,0,,95,skipped_insufficient_features
,,,-42.73054256666961,0,,96,skipped_insufficient_features
,,,-43.05035537173814,0,,97,skipped_insufficient_features
,,,-43.910040872899415,0,,98,skipped_insufficient_features
,,,-45.01290894158833,0,,103,skipped_insufficient_features
,,,-43.08408303463808,0,,106,skipped_insufficient_features
,,,-42.51815854720408,0,,107,skipped_insufficient_features
,,,-45.237304348120766,0,,110,skipped_insufficient_features
,,,-45.59289183942474,0,,112,skipped_insufficient_features
,,,-45.0028494441314,0,,116,skipped_insufficient_features
,,,-44.75646898793143,0,,118,skipped_insufficient_features
,,,-44.50637462560115,0,,119,skipped_insufficient_features
,,,-44.57394721066002,0,,120,skipped_insufficient_features
,,,-44.829650890658534,0,,121,skipped_insufficient_features
,,,-48.13278972789267,0,,127,skipped_insufficient_features
,,,-43.43934557139858,0,,131,skipped_insufficient_features
,,,-45.35452751288533,0,,134,skipped_insufficient_features
,,,-44.98454666586523,0,,135,skipped_insufficient_features
,,,-44.429363601543386,0,,139,skipped_insufficient_features
,,,-49.45914392890705,0,,144,skipped_insufficient_features
,,,-44.848447286267465,0,,150,skipped_insufficient_features
,,,-45.22870924655455,2,,156,skipped_insufficient_features
,,,-45.20125927824063,1,,157,skipped_insufficient_features
,,,-43.10631255240394,2,,162,skipped_insufficient_features
,,,-44.650522563707554,1,,166,skipped_insufficient_features
,,,-45.75122862565374,1,,167,skipped_insufficient_features
,,,-45.9780445960567,2,,169,skipped_insufficient_features
raw_lidar_xy_decimated,78864,0.125,-44.680630685106244,3,0.22053008200600743,176,no_solution
raw_lidar_xy_decimated,74267,0.125,-42.5237923057275,3,0.001029495004331693,180,no_solution
,,,-44.6798546770664,1,,182,skipped_insufficient_features
,,,-45.32551310907346,1,,183,skipped_insufficient_features
,,,-44.68030830269751,2,,189,skipped_insufficient_features
,,,-45.093970350672045,1,,190,skipped_insufficient_features
,,,-45.03745039744829,1,,191,skipped_insufficient_features
,,,-47.04917061725294,1,,196,skipped_insufficient_features
,,,-47.123536615890615,2,,198,skipped_insufficient_features
,,,-46.8807507616142,1,,199,skipped_insufficient_features
,,,-45.41835751601196,2,,200,skipped_insufficient_features
,,,-44.711600491544985,2,,201,skipped_insufficient_features
,,,-44.10597825430367,1,,203,skipped_insufficient_features
,,,-47.6032661763136,1,,205,skipped_insufficient_features
,,,-42.491605805699834,1,,208,skipped_insufficient_features
,,,-51.695153144291474,1,,211,skipped_insufficient_features
,,,-49.30403007349622,1,,212,skipped_insufficient_features
,,,-43.93270236256767,1,,215,skipped_insufficient_features
,,,-44.90133804769701,1,,218,skipped_insufficient_features
,,,-143.64881829077044,1,,223,skipped_insufficient_features
,,,-142.96084923880284,1,,228,skipped_insufficient_features
,,,-143.2148740382793,1,,229,skipped_insufficient_features
,,,-145.08787758642376,2,,233,skipped_insufficient_features
,,,-143.29899222464317,1,,235,skipped_insufficient_features
,,,-142.88402884282752,2,,236,skipped_insufficient_features
,,,-144.39977831397286,1,,240,skipped_insufficient_features
,,,-143.21088393967213,1,,248,skipped_insufficient_features
,,,-160.74196413313535,1,,250,skipped_insufficient_features
,,,-138.1152897964851,1,,251,skipped_insufficient_features
,,,-146.72768275966973,1,,255,skipped_insufficient_features
,,,-145.21688187486686,1,,256,skipped_insufficient_features
,,,-143.50252322485218,1,,257,skipped_insufficient_features
,,,-143.41536564254582,1,,261,skipped_insufficient_features
