checkpoint_signature,cluster_size,correspondence_count,evaluated_hypothesis_count,generated_hypotheses_per_s,generated_hypothesis_count,heading_error_deg,hypothesis_cap,local_feature_count,resolution,runtime_s,screened_hypothesis_count,site,status,xy_error_m
abab6cb1541be4b2e60ae5db420e498c676108423e185e573edab9e27b02ef6f,,,,36.449625138624384,15,,100000,3,0p25m,0.41152686599525623,1,12,no_solution,
abab6cb1541be4b2e60ae5db420e498c676108423e185e573edab9e27b02ef6f,,,,0.0,0,,100000,3,0p25m,0.0010182319965679199,0,17,no_solution,
abab6cb1541be4b2e60ae5db420e498c676108423e185e573edab9e27b02ef6f,,,,,,,100000,1,0p25m,,,18,skipped_insufficient_features,
abab6cb1541be4b2e60ae5db420e498c676108423e185e573edab9e27b02ef6f,,,,,,,100000,1,0p25m,,,20,skipped_insufficient_features,
abab6cb1541be4b2e60ae5db420e498c676108423e185e573edab9e27b02ef6f,,,,,,,100000,2,0p25m,,,22,skipped_insufficient_features,
abab6cb1541be4b2e60ae5db420e498c676108423e185e573edab9e27b02ef6f,,,,,,,100000,1,0p25m,,,23,skipped_insufficient_features,
abab6cb1541be4b2e60ae5db420e498c676108423e185e573edab9e27b02ef6f,,,,72.70208872350445,108,,100000,4,0p25m,1.485514404004789,2,30,no_solution,
abab6cb1541be4b2e60ae5db420e498c676108423e185e573edab9e27b02ef6f,,,,,,,100000,1,0p25m,,,38,skipped_insufficient_features,
abab6cb1541be4b2e60ae5db420e498c676108423e185e573edab9e27b02ef6f,,,,,,,100000,2,0p25m,,,43,skipped_insufficient_features,
abab6cb1541be4b2e60ae5db420e498c676108423e185e573edab9e27b02ef6f,,,,,,,100000,1,0p25m,,,44,skipped_insufficient_features,
abab6cb1541be4b2e60ae5db420e498c676108423e185e573edab9e27b02ef6f,,,,,,,100000,1,0p25m,,,45,skipped_insufficient_features,
abab6cb1541be4b2e60ae5db420e498c676108423e185e573edab9e27b02ef6f,,,,,,,100000,1,0p25m,,,46,skipped_insufficient_features,
abab6cb1541be4b2e60ae5db420e498c676108423e185e573edab9e27b02ef6f,,,,,,,100000,1,0p25m,,,49,skipped_insufficient_features,
abab6cb1541be4b2e60ae5db420e498c676108423e185e573edab9e27b02ef6f,,,,,,,100000,1,0p25m,,,53,skipped_insufficient_features,
abab6cb1541be4b2e60ae5db420e498c676108423e185e573edab9e27b02ef6f,,,,14.938959828604663,5,,100000,3,0p25m,0.33469532399612945,2,55,no_solution,
abab6cb1541be4b2e60ae5db420e498c676108423e185e573edab9e27b02ef6f,,,,,,,100000,0,0p25m,,,57,skipped_insufficient_features,
abab6cb1541be4b2e60ae5db420e498c676108423e185e573edab9e27b02ef6f,,,,,,,100000,0,0p25m,,,67,skipped_insufficient_features,
abab6cb1541be4b2e60ae5db420e498c676108423e185e573edab9e27b02ef6f,,,,,,,100000,0,0p25m,,,71,skipped_insufficient_features,
