estimate_source,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,fallback_reason,fitness,fitness_improvement_m,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,overlap,preservation_reason,ransac_rejected_outlier,runtime_s,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
darces,20.151023358737394,651.0677616614869,-5510.037378408307,-1006.951428681612,,-0.36757317237395776,-0.0837864878072136,raw_lidar_xy_decimated,32983,0.125,1.2654100663333736,1.0,RANSAC terrain fitness improvement was below threshold,False,0.011951526001212187,10,-1006.809,solution,653.0653666970207,-5508.912417601022,-1006.8656099911697,-0.05660999116964427,2.292588645160161,0.08581869044235191
none,,,,,DARCES has no pose estimate,,,,,,,,,,,13,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,14,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,16,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,18,,darces_unavailable,,,,,,
ransac,46.045751717553806,660.6253346889448,-5501.376982927418,-1006.6884580850601,,-0.24396063529092893,0.04251452072404599,raw_lidar_xy_decimated,29468,0.125,1.0293326843344346,1.0,,False,0.012470285000745207,23,-1006.809,solution,662.4121236448009,-5499.585756918119,-1006.676345770627,0.1326542293730154,2.530040590417142,0.012112314433124993
none,,,,,DARCES has no pose estimate,,,,,,,,,,,24,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,30,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,33,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,36,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,39,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,41,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,43,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,53,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,54,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,61,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,66,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,69,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,70,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,71,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,72,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,73,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,76,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,77,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,79,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,80,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,82,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,83,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,84,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,87,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,88,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,90,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,97,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,98,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,100,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,103,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,104,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,105,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,106,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,107,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,110,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,113,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,116,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,121,,darces_unavailable,,,,,,
