estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,heading_error_deg,initial_heading_deg,initial_source,initial_x_m,initial_y_m,moga_final_cost,moga_initial_cost,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
-49.232019977569394,-586.187843527977,1750.09617796229,-1899.8829736709595,0.02860880451987195,-50.1684714091027,darces,-587.141389482058,1749.11809762856,0.6839090794383677,4.406916989722487,131,-1899.828,solution,-587.3361948503389,1748.5488907235288,-1899.9163787765308,-0.08837877653080876,1.9268649560371431,0.03340510557131893
-46.6798923809313,-544.1132330437874,1710.2760378474654,-1900.0327342301607,0.014089196877947862,-44.913759344487644,darces,-544.4524809619758,1711.0181377443407,0.17716311750564953,2.641413200342746,189,-1899.828,solution,-543.6740153518185,1709.2273209933635,-1899.980465635776,-0.15246563577610037,1.1369781092949691,0.05226859438471365
-52.557192863577065,170.74306261098747,293.35667086439224,-1898.6773757338524,0.04668976199424632,-50.01262993999007,darces,172.33529436392536,293.5250558143324,4.174794138814894,25.50752234207742,202,-1899.828,solution,-535.3051337494954,1699.0717732085766,-1899.6379363253075,0.1900636746925011,1573.0667514579322,0.9605605914550779
-46.406428007382154,-516.6789743252971,1676.409485625052,-1898.8152142167091,0.003948009142810008,-47.77569019327563,darces,-515.871775076316,1677.5557343448006,2.026160252626048,12.204930033591838,229,-1899.828,solution,-518.1692381773893,1677.5952571215457,-1898.9549528982318,0.8730471017681081,1.9044527798687358,0.13973868152265823
-51.89277637806105,-503.70596860251095,1660.2629970482676,-1898.641494601965,0.014325020316189197,-54.69461666271693,darces,-501.8259225410581,1661.9360028333856,0.6413354951811306,8.35368315109691,252,-1899.828,solution,-502.9241508482009,1659.8254670380782,-1898.696530022767,1.13146997723285,0.8959193662215342,0.055035420802141743
-60.18356246074834,-497.89711783215824,1654.9803499325626,-1898.6432165503502,0.039327611529836735,-59.98419764275793,darces,-497.0372811459771,1653.42988443657,1.030804251604447,5.723712793269217,262,-1899.828,solution,-497.1000843802959,1651.5834628596951,-1898.6485563791102,1.179443620889856,3.4891408841148284,0.005339828760043019
,,,,,,none,,,,,273,-1899.828,feature_pose_unavailable,-491.32452554961617,1641.9071782840776,-1898.538571015022,1.2894289849780387,,
,,,,,,none,,,,,277,-1899.828,feature_pose_unavailable,-489.18646389721505,1638.4306311223627,-1898.3967253073845,1.4312746926155504,,
-49.78298954318978,-480.5982289106194,1624.7533010343338,-1898.1251261234283,0.01986600077608404,-48.825917570006624,darces,-481.1597268849338,1625.8517638631376,0.21329882633961128,1.7795137129741316,293,-1899.828,solution,-480.4980325978644,1624.5968454343554,-1898.0863004847058,1.7416995152941703,0.18578927809302542,0.03882563872252831
-59.428784575926436,-434.7581245152238,1559.5407152458438,-1896.270325616002,0.06287141049638162,-60.02726889275359,darces,-437.00122775081104,1553.4873514679518,3.3853148395277723,26.7269874450848,377,-1899.828,solution,-436.3525068444849,1552.2997584514658,-1896.2062955081142,3.6217044918858576,7.414412337462017,0.06403010788790198
,,,,,,none,,,,,390,-1899.828,feature_pose_unavailable,-429.7309701704363,1541.0020597226303,-1896.1269497903882,3.7010502096117897,,
-59.71430148870903,191.12014736505512,1467.4856782600586,-1904.1120871305466,0.26247256645621647,-66.29811722343834,ransac,189.5377922771381,1470.1703504961351,1.7233474500740964,27.64868110779615,423,-1899.828,solution,-412.6854979029223,1511.9957737347017,-1895.5134243622672,4.314575637732694,605.4439741682465,8.598662768279382
-72.35319700442024,-398.308378947973,1477.868028394533,-1894.176483988762,0.07272943108980932,-73.8347117247293,darces,-398.6331775606689,1476.9204337192582,0.29073397690992475,2.4070521207403637,461,-1899.828,solution,-398.29575659193654,1476.3921670924367,-1894.1868862315728,5.641113768427241,1.4759152776827233,0.010402242810869211
-82.87738166186415,-382.44982101501955,1459.8794446497357,-1893.4979443848133,0.0755304363687227,-83.42767270925465,darces,-386.3775668384378,1457.7363458971813,0.9622717617264789,7.170725255723996,484,-1899.828,solution,-385.81077053518493,1457.3825240017723,-1893.5169643317445,6.311035668255537,4.186955265980982,0.019019946931166487
-94.54218941467434,-382.7139751916849,1454.4424233358568,-1893.3613379001617,0.10177073064050246,-94.94081973555392,darces,-385.53186571540107,1452.4491159546528,1.439782077836273,8.855994605021868,490,-1899.828,solution,-386.0783179163933,1451.285386540734,-1893.4654506527347,6.362549347265335,4.613641001969923,0.10411275257297348
,,,,,,none,,,,,538,-1899.828,feature_pose_unavailable,-370.62116295746205,1407.1137867742098,-1891.970455480484,7.857544519516011,,
-56.59042937916312,-350.97463703891606,1381.9174893144007,-1892.0099345445633,0.0528798417093257,-59.49533335449697,darces,-348.7886667423171,1382.6349802266539,0.1340881603253235,4.713209529128849,568,-1899.828,solution,-352.17740595401386,1382.8594539623266,-1892.0655482217555,7.7624517782445075,1.5277272207654737,0.055613677192241084
-62.673206379145604,-347.18102891715154,1369.584661298408,-1892.2830502390862,0.1262421193337933,-64.21405027460365,darces,-346.56662222850076,1371.740150434247,0.42121802713582834,2.8437433296847976,580,-1899.828,solution,-347.66443556251926,1371.5200681430576,-1892.393551137202,7.4344488627980905,1.994863814675633,0.110500898115788
-62.14528892174785,-340.3659505942299,1360.3671462206032,-1892.9982130527496,0.14019764145664138,-63.19233207129723,darces,-342.66862959134295,1360.805196931781,0.8927092325867201,5.462099363784395,591,-1899.828,solution,-342.1036747018115,1361.7487365615832,-1892.976558937106,6.851441062894143,2.220017329743036,0.021654115643741534
-58.03997944940128,-301.0260501929692,1288.5266373726295,-1894.1617396175861,0.13374647610096554,-59.334973763224696,darces,-303.1366756767572,1289.8275158423173,1.0270826003603304,6.439649664843783,672,-1899.828,solution,-303.2804603422394,1289.263905236986,-1894.1574670472628,5.670532952737287,2.371904092695405,0.004272570323337277
,,,,,,none,,,,,682,-1899.828,feature_pose_unavailable,-297.8025852709442,1280.7661027050076,-1894.8789025830588,4.949097416941154,,
-70.90287907303394,-284.43557116295625,1241.7703971882145,-1895.4266214370728,0.040432002520908505,-72.45081815210868,darces,-283.02293314107743,1241.9754461749012,2.945140387950934,17.134114928180335,724,-1899.828,solution,-282.3471700070822,1241.8101706605858,-1895.4558068310187,4.372193168981287,2.0887798632121592,0.0291853939459088
-14.652454597743766,-229.52298112531906,1167.9778748231424,-1896.3789327144623,0.08743329802084568,-12.941083886852864,darces,-228.75668253241813,1168.3973101313104,2.4957868845448345,14.060081797186715,821,-1899.828,solution,-226.61425707540195,1167.012626340522,-1896.4871788023572,3.340821197642798,3.064699044240258,0.1082460878949405
