estimate_source,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,fallback_reason,fitness,fitness_improvement_m,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,overlap,preservation_reason,ransac_rejected_outlier,runtime_s,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
none,,,,,DARCES has no pose estimate,,,,,,,,,,,1,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,2,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,3,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,4,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,5,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,6,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,7,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,8,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,9,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,10,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,100,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,101,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,102,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,103,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,104,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,105,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,106,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,107,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,108,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,109,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,11,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,110,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,111,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,112,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,113,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,114,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,115,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,116,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,117,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,118,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,119,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,12,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,120,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,121,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,122,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,123,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,124,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,125,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,126,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,127,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,128,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,129,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,13,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,130,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,131,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,132,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,133,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,134,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,135,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,136,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,137,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,138,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,139,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,14,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,140,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,141,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,142,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,143,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,144,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,145,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,146,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,147,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,148,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,149,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,15,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,150,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,151,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,152,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,153,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,154,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,155,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,156,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,157,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,158,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,159,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,16,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,160,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,161,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,162,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,163,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,164,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,165,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,166,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,167,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,168,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,169,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,17,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,170,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,171,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,172,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,173,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,174,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,175,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,176,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,177,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,178,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,179,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,18,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,180,darces_unavailable,,,,,
darces,-1.708437504543629,156.2083427804301,-82.35426297540806,-1976.4326379299164,,-0.9661634601992981,-5.551115123125783e-16,raw_lidar_xy_decimated,14310,0.25,2.189928570717939,0.9997204751921733,exactly three correspondences cannot be outlier-tested,False,0.0021616689991788007,181,minimal_unverified,182.67649841308594,0.016742311418056488,-1.5526123046875,86.51904862258269,1974.8800256252289
darces,1.595063535332959,182.41938711542565,1.1123958329143768,-1975.5371049642563,,-0.08042885447028447,-0.020674150729935545,raw_lidar_xy_decimated,15553,0.25,1.9313283468784732,0.9926702243940075,RANSAC terrain fitness improvement was below threshold,False,0.013960937001684215,182,solution,183.69186401367188,0.01697663776576519,-1.5758056640625,1.6790296809974403,1973.9612993001938
none,,,,,DARCES has no pose estimate,,,,,,,,,,,183,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,184,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,185,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,186,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,187,darces_unavailable,,,,,
darces,2.385116821744945,63.05866209482917,-66.05236120018269,-1975.295102596283,,-0.42174212115877585,-0.008485934462912348,raw_lidar_xy_decimated,13824,0.25,2.1080028050242277,0.9987702546296297,RANSAC terrain fitness improvement was below threshold,False,0.012742409002385102,188,solution,189.84622192382812,0.0008676539291627705,-1.658203125,142.96193328801084,1973.636899471283
ransac,-2.5516144946653205,60.48844097970402,-61.39251577975148,-1974.6256183981895,,-0.4017795748677079,0.013467447383555153,raw_lidar_xy_decimated,14017,0.25,2.5906028022648684,0.9986445031033745,,False,0.014097013001446612,189,solution,190.867431640625,0.0007365509518422186,-1.670166015625,144.1104182129173,1972.9554523825645
none,,,,,DARCES has no pose estimate,,,,,,,,,,,19,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,190,darces_unavailable,,,,,
darces,1.4311684457461133,191.51749485310634,0.05350179456659632,-1975.6303084343672,,-0.04369347381163646,-0.032478985150045186,raw_lidar_xy_decimated,14282,0.25,1.476405635657244,0.9938383979834757,RANSAC terrain fitness improvement was below threshold,False,0.013182311005948577,191,solution,192.91656494140625,0.0013872822746634483,-1.702392578125,1.4000403688347483,1973.9279158562422
darces,1.7276253043122696,192.53689746132756,1.0457533791065856,-1975.5586786270142,,-0.04890598036497,-0.016504447305419057,raw_lidar_xy_decimated,15175,0.25,1.759464500809429,0.9957166392092257,RANSAC terrain fitness improvement was below threshold,False,0.012776682997355238,192,solution,193.9383544921875,0.001615028129890561,-1.719482421875,1.7476574908508542,1973.8391962051392
none,,,,,DARCES has no pose estimate,,,,,,,,,,,193,darces_unavailable,,,,,
ransac,2.6556208560188668,193.91351771370827,2.5382271813158486,-1975.5807586312294,,-0.04932315672982446,0.08916371689356856,raw_lidar_xy_decimated,15198,0.25,2.7213594621367747,0.9947361494933544,,False,0.013566179004556034,194,solution,195.98184204101562,-0.0011069509200751781,-1.7528076171875,3.275085244397431,1973.827951014042
none,,,,,DARCES has no pose estimate,,,,,,,,,,,195,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,196,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,197,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,198,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,199,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,20,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,200,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,201,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,202,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,203,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,204,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,205,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,206,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,207,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,208,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,209,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,21,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,210,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,211,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,212,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,213,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,214,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,215,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,216,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,217,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,218,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,219,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,22,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,220,darces_unavailable,,,,,
ransac,-91.16210348266833,199.19224324715861,-21.511086331716527,-1976.3021062761545,,-0.24820149016141468,0.015449646187373989,raw_lidar_xy_decimated,20738,0.25,0.27981786327197256,0.9965763333011862,,False,0.03258281199669,221,solution,199.9456024169922,-23.444103240966797,-2.3218994140625,2.0746335604679196,1973.980206862092
none,,,,,DARCES has no pose estimate,,,,,,,,,,,222,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,223,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,224,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,225,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,226,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,227,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,228,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,229,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,23,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,230,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,231,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,232,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,233,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,234,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,235,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,236,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,237,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,238,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,239,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,24,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,240,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,241,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,242,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,243,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,244,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,245,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,246,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,247,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,248,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,249,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,25,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,250,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,251,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,252,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,253,darces_unavailable,,,,,
