heading_error_deg,initial_source,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
,none,10,-1006.809,feature_pose_unavailable,653.0653666970207,-5508.912417601022,-1006.8656099911697,-0.05660999116964427,,
,none,13,-1006.809,feature_pose_unavailable,655.1983962288042,-5506.776452522913,-1006.8301503021113,-0.021150302111307917,,
,none,14,-1006.809,feature_pose_unavailable,655.9157929042468,-5506.059642032294,-1006.8143394759986,-0.005339475998682508,,
,none,16,-1006.809,feature_pose_unavailable,657.3782128714513,-5504.620346929557,-1006.7785443171618,0.030455682838178233,,
,none,18,-1006.809,feature_pose_unavailable,658.8288281527425,-5503.1617291172215,-1006.7661490926739,0.04285090732601543,,
,none,23,-1006.809,feature_pose_unavailable,662.4121236448009,-5499.585756918119,-1006.676345770627,0.1326542293730154,,
,none,24,-1006.809,feature_pose_unavailable,663.2246219904457,-5498.9824340922705,-1006.6723675092962,0.13663249070373035,,
,none,30,-1006.809,feature_pose_unavailable,669.2899118781241,-5498.99555702436,-1006.8418620259275,-0.03286202592756088,,
,none,33,-1006.809,feature_pose_unavailable,672.1843737634349,-5498.377391221289,-1006.9215494338856,-0.1125494338856598,,
,none,36,-1006.809,feature_pose_unavailable,674.4699382648023,-5496.7387159222335,-1006.9502274167942,-0.141227416794189,,
,none,39,-1006.809,feature_pose_unavailable,677.5306350166426,-5497.019617483041,-1006.9837414534746,-0.17474145347471032,,
,none,41,-1006.809,feature_pose_unavailable,679.5637249832185,-5496.996465268984,-1007.0208233930429,-0.21182339304289238,,
,none,43,-1006.809,feature_pose_unavailable,681.5655591393408,-5496.789476938898,-1007.0817007753739,-0.2727007753739373,,
,none,53,-1006.809,feature_pose_unavailable,689.9236098257888,-5492.8023951563255,-1007.2223599418907,-0.41335994189066677,,
,none,54,-1006.809,feature_pose_unavailable,690.918311986105,-5492.924556997537,-1007.21635448914,-0.40735448914009476,,
,none,61,-1006.809,feature_pose_unavailable,696.5610680189214,-5489.408815455407,-1007.1844145563737,-0.3754145563736792,,
,none,66,-1006.809,feature_pose_unavailable,700.6456770222389,-5486.806262796244,-1007.0096583018935,-0.2006583018935248,,
,none,69,-1006.809,feature_pose_unavailable,703.6765123624073,-5486.968361373813,-1006.7683413970327,0.04065860296730439,,
,none,70,-1006.809,feature_pose_unavailable,704.6893001333958,-5486.94548530378,-1006.6386236879371,0.1703763120629217,,
,none,71,-1006.809,feature_pose_unavailable,705.6990601009988,-5486.943362887523,-1006.4979334512418,0.3110665487581759,,
,none,72,-1006.809,feature_pose_unavailable,706.715732062541,-5486.947829091322,-1006.3596556752635,0.44934432473640135,,
,none,73,-1006.809,feature_pose_unavailable,707.76569787434,-5486.937990825915,-1006.305336034664,0.5036639653359534,,
,none,76,-1006.809,feature_pose_unavailable,710.8029425833208,-5486.929539760131,-1006.0765333676009,0.7324666323991004,,
,none,77,-1006.809,feature_pose_unavailable,711.8399342764524,-5486.961091391623,-1006.034725040889,0.7742749591109717,,
,none,79,-1006.809,feature_pose_unavailable,713.8622939183145,-5487.032195186412,-1005.9497660547764,0.859233945223506,,
,none,80,-1006.809,feature_pose_unavailable,714.8830908916539,-5487.018995207981,-1005.8808053943021,0.9281946056978416,,
,none,82,-1006.809,feature_pose_unavailable,716.8720062647225,-5486.948446147532,-1005.7515718203698,1.057428179630143,,
,none,83,-1006.809,feature_pose_unavailable,717.9048299204226,-5486.981442782929,-1005.6289926978208,1.1800073021792312,,
,none,84,-1006.809,feature_pose_unavailable,718.9171868841113,-5486.99075858124,-1005.5012632553336,1.3077367446664259,,
,none,87,-1006.809,feature_pose_unavailable,721.9586480505693,-5487.001587076867,-1005.1007557535738,1.708244246426167,,
,none,88,-1006.809,feature_pose_unavailable,722.9875972880423,-5487.002866565371,-1004.9642160449109,1.8447839550890914,,
,none,90,-1006.809,feature_pose_unavailable,724.9941853815859,-5487.0046168024155,-1004.6745697982262,2.1344302017736836,,
,none,97,-1006.809,feature_pose_unavailable,732.0056026480726,-5486.996956955169,-1003.731802559405,3.077197440594948,,
,none,98,-1006.809,feature_pose_unavailable,733.0200129150755,-5486.996191648911,-1003.6000861834601,3.2089138165398143,,
,none,100,-1006.809,feature_pose_unavailable,735.0589826520511,-5487.033028486695,-1003.3643241287652,3.4446758712347734,,
,none,103,-1006.809,feature_pose_unavailable,738.0949123813048,-5487.026136421222,-1002.9939512202589,3.815048779741174,,
,none,104,-1006.809,feature_pose_unavailable,739.1737275039754,-5486.838713773923,-1003.0012332511453,3.807766748854703,,
,none,105,-1006.809,feature_pose_unavailable,739.9981571376932,-5486.791740122756,-1002.8196329839519,3.989367016048046,,
,none,106,-1006.809,feature_pose_unavailable,741.1445186261084,-5486.845197609639,-1002.5909878779555,4.218012122044412,,
,none,107,-1006.809,feature_pose_unavailable,742.1386016162292,-5486.964558818956,-1002.4583538068428,4.350646193157196,,
,none,110,-1006.809,feature_pose_unavailable,745.1735406530634,-5486.996477994563,-1002.0401703283238,4.768829671676122,,
,none,113,-1006.809,feature_pose_unavailable,748.2423014425708,-5487.001615254331,-1001.7013584820298,5.107641517970155,,
,none,116,-1006.809,feature_pose_unavailable,751.2761590048843,-5486.994346743928,-1001.4264563805559,5.382543619444023,,
,none,121,-1006.809,feature_pose_unavailable,756.3124559306326,-5486.986530526136,-1000.8582677529937,5.950732247006305,,
,none,122,-1006.809,feature_pose_unavailable,757.3177792727969,-5486.993491899431,-1000.7013681388634,6.107631861136614,,
,none,123,-1006.809,feature_pose_unavailable,758.3852971053501,-5486.979231813488,-1000.512813355751,6.296186644248987,,
,none,128,-1006.809,feature_pose_unavailable,763.3250169192447,-5486.9748385718885,-999.7082603249537,7.100739675046247,,
