cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,overlap,runtime_s,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
2,0,inf,inf,5,"[304, 341, 338, 321, 305]","[2, 4, 5, 6, 0]",8.680741151158168,1.3405311736185859,-0.3967788337916328,-446.308273385734,-159.82811284089658,8.48939573764801,129,-0.6350620413474045,raw_lidar_xy_decimated,614,5.0,0.12457495655326056,-0.27220387723835904,7,1.0,10.75534102099482,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,474.05826261706454,8.985051214694977
3,0,inf,inf,5,"[278, 331, 335, 315, 313]","[0, 4, 6, 3, 5]",11.255765648748152,0.42295156501741926,2.836187702768555,-546.1809127189846,-554.9716723991335,7.46148157119751,137,-0.8409844057447039,raw_lidar_xy_decimated,547,5.0,4.768062451333805,-1.9318747485652559,8,1.0,14.235497728004702,2,solution,12.267229080200195,-0.6570590734481812,-0.8115395307540894,786.847518662521,8.2730211019516
3,0,inf,inf,6,"[208, 247, 236, 235, 255, 221]","[0, 8, 3, 6, 9, 1]",18.586275150629625,0.5024289120753822,-42.50387796778964,22.529643208706553,-9.687430691824353,-0.3288291096687317,547,-0.35947666822424296,raw_lidar_xy_decimated,935,5.0,1.785680923903783,-40.71819704388585,10,1.0,49.68819236800482,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,1.46323327956359,0.20850110054016113
2,0,inf,inf,5,"[50, 138, 53, 62, 69]","[2, 8, 0, 1, 5]",10.185678338996222,1.2942653034493714,-63.150201109322744,699.7752070101334,633.9245584036984,-15.571085810661316,397,-0.6407464941394002,raw_lidar_xy_decimated,465,5.0,1.6411338277364393,-64.79133493705918,10,1.0,34.576877856001374,4,solution,36.56502151489258,-34.223609924316406,-2.5595836639404297,941.4189954450212,13.011502146720886
3,0,inf,inf,4,"[305, 341, 304, 338]","[1, 4, 0, 5]",5.875814211811941,1.3225640287088407,-151.31385242626055,-466.44482232408427,-187.76613789850472,8.377695322036743,194,-0.7662659244654074,raw_lidar_xy_decimated,493,5.0,3.968294289089812,-147.34555813717074,8,1.0,16.665689336994546,5,solution,19.5212345123291,-46.497894287109375,-2.1845808029174805,506.08272550066425,10.562276124954224
5,0,inf,inf,5,"[235, 208, 236, 221, 255]","[4, 0, 6, 2, 10]",11.401544752454946,0.3392994029821552,-148.39249775375112,-5.5987648424386975,-58.4425202970134,0.06081271171569824,879,-0.2266015267698092,raw_lidar_xy_decimated,1102,5.0,0.8645184887057553,-149.25701624245687,11,1.0,70.60527427300985,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,4.672704400430315,0.5151425004005432
2,0,inf,inf,3,"[61, 117, 56]","[1, 4, 3]",10.847738866105122,0.9557092365236466,-108.25756307538975,710.0976290086945,606.1727902425607,-16.267663598060608,55,-1.608587086343036,raw_lidar_xy_decimated,525,5.0,1.018436289586532,-109.2759993649763,5,1.0,3.881790056009777,7,solution,-8.252805709838867,-83.77835845947266,-1.3806068897247314,996.0220553057854,14.887056708335876
,,,,,,,,,,,,,,,,,,,-114.39735521942477,2,,,8,skipped_insufficient_features,,,,,
,,,,,,,,,,,,,,,,,,,-104.79089921902104,1,,,9,skipped_insufficient_features,,,,,
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,558,5.0,,-111.72540843703277,3,,0.44857577500806656,10,no_solution,,,,,
