estimate_source,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,fallback_reason,fitness,fitness_improvement_m,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,overlap,preservation_reason,ransac_rejected_outlier,runtime_s,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
ransac,-1.4869024416265035,-446.1472232050729,-161.21950557823067,8.80654263496399,,-0.6245049884709981,0.010557052876406403,raw_lidar_xy_decimated,614,5.0,1.2146985643881578,1.0,,False,0.005894585003261454,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,474.3777061342248,9.302198112010956
darces,2.836187702768555,-546.1809127189846,-554.9716723991335,7.46148157119751,,-0.8409844057447039,-0.04755280729026945,raw_lidar_xy_decimated,547,5.0,4.768062451333805,1.0,RANSAC terrain fitness improvement was below threshold,False,0.005538115001400001,2,solution,12.267229080200195,-0.6570590734481812,-0.8115395307540894,786.847518662521,8.2730211019516
ransac,-41.73553806648275,23.595033651729047,-12.309571090703315,-0.3374321758747101,,-0.31404282117657634,0.04543384704766662,raw_lidar_xy_decimated,935,5.0,1.017341022596895,1.0,,False,0.011764349008444697,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,2.1346536421689595,0.19989803433418274
darces,-63.150201109322744,699.7752070101334,633.9245584036984,-15.571085810661316,,-0.6407464941394002,-0.0922906603195156,raw_lidar_xy_decimated,465,5.0,1.6411338277364393,1.0,RANSAC terrain fitness improvement was below threshold,False,0.005271672998787835,4,solution,36.56502151489258,-34.223609924316406,-2.5595836639404297,941.4189954450212,13.011502146720886
darces,-151.31385242626055,-466.44482232408427,-187.76613789850472,8.377695322036743,,-0.7662659244654074,-0.048671363163882986,raw_lidar_xy_decimated,493,5.0,3.968294289089812,1.0,RANSAC terrain fitness improvement was below threshold,False,0.0026791229902300984,5,solution,19.5212345123291,-46.497894287109375,-2.1845808029174805,506.08272550066425,10.562276124954224
ransac,-146.97238927341718,-1.9004111301373143,-62.13081541347708,0.06081271171569824,,-0.20193581115152637,0.02466571561828282,raw_lidar_xy_decimated,1102,5.0,2.2846269690396923,1.0,,False,0.006250628997804597,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,3.242039264540893,0.5151425004005432
darces,-108.25756307538975,710.0976290086945,606.1727902425607,-16.267663598060608,,-1.608587086343036,0.0,raw_lidar_xy_decimated,525,5.0,1.018436289586532,1.0,exactly three correspondences cannot be outlier-tested,False,0.0009369749895995483,7,minimal_unverified,-8.252805709838867,-83.77835845947266,-1.3806068897247314,996.0220553057854,14.887056708335876
none,,,,,DARCES has no pose estimate,,,,,,,,,,,8,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,9,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,10,darces_unavailable,,,,,
darces,-112.61986494804043,-331.28205128205127,-206.4102564102564,7.056432664394379,,-1.0625381660080628,-0.0009771853429276778,raw_lidar_xy_decimated,595,5.0,2.0814577019366425,1.0,RANSAC terrain fitness improvement was below threshold,False,0.005808087007608265,11,solution,-26.17138671875,-156.74221801757812,-0.03909933567047119,309.12688603231504,7.09553200006485
darces,-97.69605172201656,203.36375711458015,400.8947787197489,-1.5752236247062683,,-0.8899747108053576,-0.054345944411648195,raw_lidar_xy_decimated,712,5.0,1.9847748848184779,1.0,exactly three correspondences cannot be outlier-tested,False,0.0010175370116485283,12,minimal_unverified,-27.199756622314453,-174.37538146972656,1.2406376600265503,619.7542182761873,2.8158612847328186
darces,-95.99252744787896,-478.31451457944013,-425.5152512719882,11.602622389793396,,-1.1922540459505793,-0.0031072304768458014,raw_lidar_xy_decimated,658,5.0,3.801056797550814,1.0,RANSAC terrain fitness improvement was below threshold,False,0.0025921039923559874,13,solution,-30.75284194946289,-198.97962951660156,2.7760562896728516,501.627190980954,8.826566100120544
none,,,,,DARCES has no pose estimate,,,,,,,,,,,14,darces_unavailable,,,,,
ransac,142.5714884569366,-535.5399834254757,-524.3016693933779,8.659891307353973,,-0.7574670329912653,0.0404234193267462,raw_lidar_xy_decimated,702,5.0,5.877419751255502,1.0,,False,0.011258719998295419,15,solution,-16.422508239746094,6.153733253479004,0.1715155839920044,742.2034001811402,8.488375723361969
