estimate_source,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,fallback_reason,fitness,heading_error_deg,overlap,preservation_reason,runtime_s,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
darces,0.9604486718677547,-444.8169472785816,-161.1857644590951,8.506591737270355,,-0.5492995587096019,1.2326525491061204,1.0,RANSAC found no outliers,0.0032243890018435195,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,473.11532958051976,9.002247214317322
none,,,,,DARCES has no pose estimate,,,,,,2,darces_unavailable,,,,,
darces,-40.68631480149443,19.74618054632766,-10.699047981214001,-0.020504534244537354,,-0.22432172670952738,0.03188224239141846,1.0,RANSAC found no outliers,0.009549605994834565,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,4.185321418087614,0.5168256759643555
none,,,,,DARCES has no pose estimate,,,,,,4,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,5,darces_unavailable,,,,,
darces,-150.1732968671931,-0.2220730783711673,-61.33533680827089,0.11303138732910156,,-0.2235976876557612,0.9162806247362312,1.0,RANSAC found no outliers,0.010422072009532712,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,2.423969910621105,0.5673611760139465
none,,,,,DARCES has no pose estimate,,,,,,7,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,8,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,9,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,10,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,11,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,12,darces_unavailable,,,,,
darces,-97.94180098371862,-26.805701196935964,-199.15030589968634,3.344308376312256,,-0.1369953723128674,1.851783261711148,1.0,RANSAC found no outliers,0.003192922013113275,13,solution,-30.75284194946289,-198.97962951660156,2.7760562896728516,3.9508290962786203,0.5682520866394043
darces,-127.5774121290003,-300.63155500186275,216.20470704222646,9.449747562408447,,-1.818077402233444,4.363549237119599,1.0,exactly three correspondences cannot be outlier-tested,0.0012389149924274534,14,minimal_unverified,-50.64036178588867,-224.77685546875,3.8478145599365234,506.9125517879477,5.601933002471924
darces,150.89132156680722,-24.24339351506881,11.078935995321785,0.43672096729278564,,-0.5128207433382442,2.442413358615113,1.0,RANSAC found no outliers,0.0036830669996561483,15,solution,-16.422508239746094,6.153733253479004,0.1715155839920044,9.242503369651283,0.26520538330078125
none,,,,,DARCES has no pose estimate,,,,,,16,darces_unavailable,,,,,
darces,-142.95112706868008,-882.4521647203427,855.8727835068212,26.81753396987915,,-3.282474832522173,0.0694630276841508,1.0,exactly three correspondences cannot be outlier-tested,0.0012510170054156333,17,minimal_unverified,-102.15924835205078,-266.02862548828125,3.638662815093994,1366.5722837961152,23.178871154785156
none,,,,,DARCES has no pose estimate,,,,,,18,darces_unavailable,,,,,
darces,-166.47197354863152,-467.84978122373593,-153.9821831803753,10.15936815738678,,-0.8140283181246726,3.3925425741244055,1.0,exactly three correspondences cannot be outlier-tested,0.001088410004740581,19,minimal_unverified,-162.78665161132812,-310.0521240234375,5.476531028747559,342.66797265527117,4.682837128639221
darces,-138.55056683558428,-191.87381383572114,-338.15581577301947,7.46293044090271,,-0.0848207324892808,1.5305596434299389,1.0,RANSAC found no outliers,0.03045355700305663,20,solution,-194.00518798828125,-337.96356201171875,6.880199909210205,2.1400274033141757,0.5827305316925049
darces,-135.89473137149895,-402.20076342569786,-575.6412348215891,7.160344336181879,,-0.7207764120819028,3.6128224656118277,1.0,RANSAC found no outliers,0.0032255070109385997,21,solution,-211.0142364501953,-352.2628173828125,5.4391608238220215,294.0241579775494,1.7211835123598576
darces,-157.97069494807081,-236.5914453993461,-372.7623650218448,6.465026617050171,,-0.21494904663482856,3.3521728917544067,1.0,RANSAC found no outliers,0.007103429001290351,22,solution,-236.06866455078125,-371.45111083984375,5.889065742492676,1.4116257809495505,0.5759608745574951
none,,,,,DARCES has no pose estimate,,,,,,23,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,24,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,25,darces_unavailable,,,,,
darces,94.36007893515216,-201.0754417264567,-153.38354424311706,3.7918154895305634,,-0.5044078200576269,0.28254526917993417,1.0,RANSAC found no outliers,0.014256921000196598,26,solution,-312.87744140625,-352.31488037109375,5.095863342285156,228.1958887141978,1.304047852754593
darces,166.35631619492574,-370.60686820295734,-290.97076786424924,6.957655191421509,,-0.5062253282922973,1.1206722313413593,1.0,RANSAC found no outliers,0.0159370010078419,27,solution,-355.8419494628906,-339.0829162597656,6.069794654846191,50.32674883829635,0.8878605365753174
darces,-146.85556721021993,-256.9602389131636,-164.65149900893618,5.156771659851074,,-0.509303239607788,0.6573042782329708,1.0,RANSAC found no outliers,0.007551460003014654,28,solution,-390.8143615722656,-362.02740478515625,6.942140579223633,238.483069281283,1.7853689193725586
