checkpoint_signature,cluster_size,correspondence_count,evaluated_hypothesis_count,generated_hypotheses_per_s,generated_hypothesis_count,heading_error_deg,hypothesis_cap,local_feature_count,resolution,runtime_s,screened_hypothesis_count,site,status,xy_error_m
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,2,2,4,519.6641848439002,2655,3.9762815249161463,100000,48,2m,5.109068659017794,4,2,solution,147.56648936042768
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,5,4,287,568.8135993179797,26188,2.0284726931404293,100000,93,2m,46.039686870004516,287,6,solution,5.444034951867438
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,5,4,303,550.6523458240498,29241,0.7854554351735601,100000,98,2m,53.10247059102403,303,7,solution,5.900021467034071
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,5,4,1049,537.4384536130627,84925,0.4326445094914959,100000,143,2m,158.01809384697117,1049,9,solution,3.295139685716245
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,5,5,151,558.288007961564,11738,2.5030024400420814,100000,77,2m,21.024990385980345,151,14,solution,21.62041030304144
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,3,2,108,547.9886934567592,7210,1.3384147937218813,100000,65,2m,13.15720577101456,108,18,solution,58.360990499211916
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,5,4,157,570.7818014730011,11604,2.7830933120658017,100000,76,2m,20.330010469944682,157,26,solution,11.14951749225048
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,5,3,104,569.7411109304279,63592,1.2648656043136839,100000,136,2m,111.6156071239966,104,35,solution,26.583557963506212
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,5,4,305,480.25516692587416,30547,1.7196188990890278,100000,111,2m,63.60577064799145,305,36,solution,25.197287550616537
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,3,2,44,441.6798424857367,22026,1.5053211666650554,100000,90,2m,49.86870099400403,44,37,solution,31.30526526793424
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,3,2,37,549.0318680618385,7378,4.398204237335278,100000,67,2m,13.438199910044204,37,39,solution,93.20905529064301
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,3,4,17,597.7085128229562,14711,0.3284240873697968,100000,78,2m,24.612331403011922,17,56,solution,100.50964367435971
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,2,2,10,594.3009348103425,11106,2.200868515422826,100000,70,2m,18.68750215502223,10,63,solution,9.362053123640207
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,3,3,7,557.7420412436365,10150,3.3875409637597613,100000,70,2m,18.19837711600121,7,69,solution,147.88004742909584
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,5,2,10,433.37855170447654,13320,1.3126548799364457,100000,77,2m,30.73525431199232,10,73,solution,17.8583724670961
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,3,2,8,643.578962970635,32111,4.122421060814645,100000,102,2m,49.89442142698681,8,86,solution,147.7369986055305
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,518.4841250125792,1434,,100000,37,2m,2.7657548820134252,0,100,no_solution,
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,516.6607837839776,220,,100000,24,2m,0.4258112999959849,0,108,no_solution,
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,668.606162529604,169,,100000,20,2m,0.2527646460221149,0,110,no_solution,
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,431.4792494649127,90,,100000,20,2m,0.20858476997818798,0,111,no_solution,
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,645.7408027414216,242,,100000,24,2m,0.37476337095722556,0,117,no_solution,
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,573.9236410077975,336,,100000,29,2m,0.5854437350062653,0,118,no_solution,
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,563.9104199076854,603,,100000,34,2m,1.0693187760189176,0,119,no_solution,
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,606.1933192655415,387,,100000,26,2m,0.6384102029842325,0,128,no_solution,
