estimate_source,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,fallback_reason,fitness,fitness_improvement_m,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,overlap,preservation_reason,ransac_rejected_outlier,runtime_s,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
none,,,,,DARCES has no pose estimate,,,,,,,,,,,10,,darces_unavailable,,,,,,
darces,44.772714296260524,653.0640869862341,-5506.306936434336,-1006.9404176771641,,-0.3018227726114395,-0.14760578822319992,raw_lidar_xy_decimated,8468,1.0,0.6419805238309664,1.0,RANSAC terrain fitness improvement was below threshold,False,0.0097641600004863,13,-1006.809,solution,655.1983962288042,-5506.776452522913,-1006.8301503021113,-0.021150302111307917,2.1853423760025743,0.11026737505278561
darces,44.88020613136985,652.7445261843235,-5509.467429722884,-1006.8237003087997,,-0.7090409609416968,-0.30111076002003445,raw_lidar_xy_decimated,8039,1.0,0.3247885081994468,1.0,RANSAC terrain fitness improvement was below threshold,False,0.01934013399295509,14,-1006.809,solution,655.9157929042468,-5506.059642032294,-1006.8143394759986,-0.005339475998682508,4.655099306462997,0.009360832801121433
none,,,,,DARCES has no pose estimate,,,,,,,,,,,16,,darces_unavailable,,,,,,
darces,45.34386879774119,655.9769774266407,-5505.258550340569,-1006.844842672348,,-0.2249121730783328,-0.08264607641981722,raw_lidar_xy_decimated,8167,1.0,0.5436641348393323,1.0,RANSAC terrain fitness improvement was below threshold,False,0.004021272994577885,18,-1006.809,solution,658.8288281527425,-5503.1617291172215,-1006.7661490926739,0.04285090732601543,3.539733295976927,0.07869357967410906
none,,,,,DARCES has no pose estimate,,,,,,,,,,,23,,darces_unavailable,,,,,,
darces,18.901217376490912,661.2425184231008,-5499.739790256762,-1006.8468394577503,,-0.6739649397350722,-0.060876828659893634,raw_lidar_xy_decimated,8124,1.0,0.454233696791988,1.0,RANSAC terrain fitness improvement was below threshold,False,0.010231802007183433,24,-1006.809,solution,663.2246219904457,-5498.9824340922705,-1006.6723675092962,0.13663249070373035,2.1218677884294066,0.17447194845408376
none,,,,,DARCES has no pose estimate,,,,,,,,,,,30,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,33,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,36,,darces_unavailable,,,,,,
darces,-2.4073823121540094,677.7824911990919,-5496.425513053054,-1007.0295219421387,,-1.632645339398868,-0.5299883765143474,raw_lidar_xy_decimated,8960,1.0,3.3968270444186146,1.0,RANSAC terrain fitness improvement was below threshold,False,0.009505509995506145,39,-1006.809,solution,677.5306350166426,-5497.019617483041,-1006.9837414534746,-0.17474145347471032,0.6452841315019036,0.045780488664036056
darces,0.47851166222694486,676.7793678705473,-5497.497771052753,-1007.1345472335815,,-0.28974970566698927,-0.6024511417786695,raw_lidar_xy_decimated,9547,1.0,0.3993580680968307,1.0,RANSAC terrain fitness improvement was below threshold,False,0.009400819006259553,41,-1006.809,solution,679.5637249832185,-5496.996465268984,-1007.0208233930429,-0.21182339304289238,2.8291256634732607,0.11372384053868245
darces,29.91451204432959,679.4017405225295,-5499.224719791361,-1007.2080374658108,,-0.7569632162495467,-0.6012047946284579,raw_lidar_xy_decimated,9652,1.0,0.6547169869431286,1.0,RANSAC terrain fitness improvement was below threshold,False,0.010084955996717326,43,-1006.809,solution,681.5655591393408,-5496.789476938898,-1007.0817007753739,-0.2727007753739373,3.25768610472738,0.12633669043691498
darces,0.4202549047167575,685.4972407548208,-5496.802580011991,-1007.2851426228881,,-0.5938107896790501,-1.5846778336422034,raw_lidar_xy_decimated,7892,1.0,2.6615532313705614,1.0,RANSAC terrain fitness improvement was below threshold,False,0.008998560995678417,53,-1006.809,solution,689.9236098257888,-5492.8023951563255,-1007.2223599418907,-0.41335994189066677,5.966089341597237,0.06278268099742945
darces,-5.499135249658287,686.0112631715397,-5496.847228680707,-1007.3276594746858,,-0.5096855982118588,-1.303329547414393,raw_lidar_xy_decimated,7971,1.0,2.201976922464695,1.0,RANSAC terrain fitness improvement was below threshold,False,0.008845457996358164,54,-1006.809,solution,690.918311986105,-5492.924556997537,-1007.21635448914,-0.40735448914009476,6.282235366688368,0.11130498554575752
none,,,,,DARCES has no pose estimate,,,,,,,,,,,61,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,66,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,69,,darces_unavailable,,,,,,
darces,-0.16816323058793856,701.0712388176484,-5490.455729716507,-1006.8102804422379,,-0.4615255146471154,-0.16647672455014945,raw_lidar_xy_decimated,5228,1.0,0.02838164309309832,1.0,RANSAC terrain fitness improvement was below threshold,False,0.0033431929914513603,70,-1006.809,solution,704.6893001333958,-5486.94548530378,-1006.6386236879371,0.1703763120629217,5.041049843196885,0.1716567543007841
none,,,,,DARCES has no pose estimate,,,,,,,,,,,71,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,72,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,73,,darces_unavailable,,,,,,
