cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,overlap,runtime_s,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
3,0,inf,inf,7,"[443, 495, 493, 491, 468, 449, 490]","[2, 5, 7, 6, 8, 0, 10]",12.81264777535276,1.184610239217632,-1.015261971671127,-448.267321005026,-159.43944749200276,8.68099045753479,675,-0.5512850536335792,raw_lidar_xy_decimated,1403,2.5,0.7430580944327687,-0.27220387723835904,13,1.0,191.52893809601665,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,475.77268247776993,9.176645934581757
2,0,inf,inf,4,"[223, 229, 267, 261]","[1, 0, 7, 10]",6.124516828448084,1.199373283037254,-4.169670492400195,520.5149678824476,949.0462894363725,-5.653795957565308,322,-0.6242285976270219,raw_lidar_xy_decimated,1272,2.5,2.237795743834937,-1.9318747485652559,11,0.9386792452830188,89.19305873499252,2,solution,12.267229080200195,-0.6570590734481812,-0.8115395307540894,1077.1500425513445,4.842256426811218
5,0,inf,inf,7,"[449, 443, 546, 491, 485, 518, 507]","[1, 0, 13, 7, 8, 5, 3]",12.71548920014793,1.021545487948912,-43.84499963195524,-456.52172112567104,-150.4019365026958,9.540359020233154,872,-0.6153743568078566,raw_lidar_xy_decimated,2301,2.5,3.1268025880693813,-40.71819704388585,14,1.0,252.03059410100104,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,500.46347085499707,10.077689230442047
3,0,inf,inf,7,"[208, 117, 240, 190, 159, 175, 107]","[5, 0, 6, 4, 2, 3, 1]",10.808632711516577,1.2922360968456286,-66.90317808183917,558.0547840667725,382.14644603681035,-11.850525140762329,50,-0.6015196650888736,raw_lidar_xy_decimated,1204,2.5,2.111843144779982,-64.79133493705918,7,1.0,22.243820500996662,4,solution,36.56502151489258,-34.223609924316406,-2.5595836639404297,667.3197104443177,9.2909414768219
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,1238,2.5,,-147.34555813717074,7,,20.98141820298042,5,no_solution,,,,,
5,0,inf,inf,7,"[289, 310, 339, 331, 312, 334, 365]","[0, 1, 7, 5, 2, 9, 16]",10.06894139267476,0.47009150028866187,-149.8305282837463,-2.867990964822873,-55.85791015383166,0.12604427337646484,1532,-0.16827678924023262,raw_lidar_xy_decimated,2826,2.5,0.5735120412894332,-149.25701624245687,17,1.0,501.2022038550058,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,3.697958413746785,0.5803740620613098
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,1504,2.5,,-109.2759993649763,4,,2.248159017006401,7,no_solution,,,,,
,,,,,,,,,,,,,,,,,,,-114.39735521942477,1,,,8,skipped_insufficient_features,,,,,
,,,,,,,,,,,,,,,,,,,-104.79089921902104,1,,,9,skipped_insufficient_features,,,,,
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,1622,2.5,,-111.72540843703277,4,,1.8391246670216788,10,no_solution,,,,,
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,1640,2.5,,-110.5384072461038,6,,5.602259042992955,11,no_solution,,,,,
5,0,inf,inf,7,"[365, 377, 331, 375, 279, 310, 339]","[9, 10, 5, 11, 0, 2, 8]",11.593399054328966,0.5374232583021396,-95.66431025947723,-23.571626042861006,-173.86341868718682,1.7954351902008057,477,-0.17081038129645498,raw_lidar_xy_decimated,1756,2.5,0.04696657772083768,-95.71127683719807,12,1.0,126.74282877601217,12,solution,-27.199756622314453,-174.37538146972656,1.2406376600265503,3.6640738792048175,0.5547975301742554
3,0,inf,inf,4,"[331, 377, 365, 279]","[1, 6, 4, 0]",3.96198629966299,1.13309609470152,-98.57261603575826,-29.27574735848152,-200.42570380381068,3.3723573684692383,137,-0.14485775953781913,raw_lidar_xy_decimated,1496,2.5,1.220968209671497,-99.79358424542976,9,1.0,46.58868387900293,13,solution,-30.75284194946289,-198.97962951660156,2.7760562896728516,2.0671089170224604,0.5963010787963867
