estimate_source,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,fallback_reason,fitness,heading_error_deg,overlap,preservation_reason,runtime_s,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
darces,0.9953863643255071,3.8670391578251753,-6.240443697297465,-0.005605220794677734,,-0.2436684378749454,1.2675902415638802,1.0,RANSAC found no outliers,0.01252668300003279,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,7.343177557076631,0.4900502562522888
darces,-0.6665522387601406,-465.8599457883665,-137.97932130151872,8.989121735095978,,-0.6421776575161373,1.2653225098051166,1.0,RANSAC found no outliers,0.02039141299610492,2,solution,12.267229080200195,-0.6570590734481812,-0.8115395307540894,497.45652981062767,9.800661265850067
darces,-41.891143203698725,23.62341780562359,-11.1796319410134,-0.02145916223526001,,-0.25762317523411093,1.1729461598128808,1.0,RANSAC found no outliers,0.005885006990865804,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,1.0211633411023775,0.5158710479736328
darces,-60.4474377431032,699.9229099009541,638.3323375750125,-15.324777841567993,,-0.6511145208025838,4.343897193955968,1.0,RANSAC found no outliers,0.0024016329989535734,4,solution,36.56502151489258,-34.223609924316406,-2.5595836639404297,944.6561229361372,12.765194177627563
none,,,,,DARCES has no pose estimate,,,,,,5,darces_unavailable,,,,,
darces,-150.24956517205712,-3.5883992486284164,-55.900620033325,0.08753776550292969,,-0.20139863818694784,0.9925489296002468,1.0,RANSAC found no outliers,0.02479463300551288,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,4.082892456969871,0.5418675541877747
none,,,,,DARCES has no pose estimate,,,,,,7,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,8,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,9,darces_unavailable,,,,,
darces,-112.94893728092327,-279.04374953027656,457.9005215437965,6.980513215065002,,-1.6664051492122967,1.2235288438905059,1.0,exactly three correspondences cannot be outlier-tested,0.0009612290014047176,10,minimal_unverified,-23.69623565673828,-150.10791015625,-0.596463680267334,659.4517464225468,7.576976895332336
darces,-111.76088436319351,-327.77544986119216,-203.19305308785647,7.127267360687256,,-1.1306815464911688,1.22247711708971,1.0,RANSAC found no outliers,0.002667752996785566,11,solution,-26.17138671875,-156.74221801757812,-0.03909933567047119,305.1601071286292,7.166366696357727
darces,-93.54868197390444,-24.402030732816094,-176.6335605631396,1.7954351902008057,,-0.16522675056023234,2.1625948632936343,1.0,RANSAC found no outliers,0.038428293002652936,12,solution,-27.199756622314453,-174.37538146972656,1.2406376600265503,3.5953640943160625,0.5547975301742554
darces,-98.57261603575826,-29.27574735848152,-200.42570380381068,3.3723573684692383,,-0.145018197607659,1.220968209671497,1.0,RANSAC found no outliers,0.0023830629943404347,13,solution,-30.75284194946289,-198.97962951660156,2.7760562896728516,2.0671089170224604,0.5963010787963867
darces,-134.78069812759307,-172.17449313078077,-23.810744456925477,6.499654412269592,,-1.6647037308205594,2.8397367614731763,1.0,RANSAC found no outliers,0.005692719001672231,14,solution,-50.64036178588867,-224.77685546875,3.8478145599365234,234.85723931140478,2.651839852333069
darces,151.56172087489716,-18.33653182015741,7.874190967704255,0.46675026416778564,,-0.3435647461798937,3.1128126667050537,1.0,RANSAC found no outliers,0.006393239993485622,15,solution,-16.422508239746094,6.153733253479004,0.1715155839920044,2.573608558582236,0.29523468017578125
darces,-140.34571563715286,-164.72849164008423,-230.80849960973939,4.868707895278931,,-0.5419354838653798,1.950706982387402,1.0,RANSAC found no outliers,0.002241553011117503,16,solution,-178.57537841796875,-323.9828796386719,6.217787742614746,94.19767177173483,1.3490798473358154
none,,,,,DARCES has no pose estimate,,,,,,17,darces_unavailable,,,,,
darces,-138.81407483429035,-127.40661375857346,-290.6432326458093,5.814154148101807,,-0.2131898189719882,0.3097542062582761,1.0,RANSAC found no outliers,0.012605105002876371,18,solution,-131.5979461669922,-290.22393798828125,5.277122974395752,4.212253003760899,0.5370311737060547
darces,-165.31850051440497,-161.16998665262867,-316.562330663414,5.961707353591919,,-0.26778058508354974,2.239069539897855,1.0,RANSAC found no outliers,0.0025938720064004883,19,solution,-162.78665161132812,-310.0521240234375,5.476531028747559,6.707935307073321,0.48517632484436035
