resolution_m,stage,site,baseline_xy_error_m,refined_source_xy_error_m,error_change_m
5.0,darces,1,7.343177557076631,7.343177557076631,0.0
5.0,darces,2,492.30819269227726,492.30819269227726,0.0
5.0,darces,3,1.0211633411023775,1.0211633411023775,0.0
5.0,darces,4,667.3197104443177,667.3197104443177,0.0
5.0,darces,6,4.082892456969871,4.082892456969871,0.0
5.0,darces,10,659.4517464225468,659.4517464225468,0.0
5.0,darces,11,305.1601071286292,305.1601071286292,0.0
5.0,darces,12,3.5953640943160625,3.5953640943160625,0.0
5.0,darces,13,2.0671089170224604,2.0671089170224604,0.0
5.0,darces,15,2.573608558582236,2.573608558582236,0.0
5.0,darces,16,94.19767177173483,94.19767177173483,0.0
5.0,darces,18,4.212253003760899,4.212253003760899,0.0
5.0,darces,19,91.20677964040061,91.20677964040061,0.0
5.0,darces,20,40.628385243139,40.628385243139,0.0
5.0,darces,21,2.0314721687492296,2.0314721687492296,0.0
5.0,darces,22,2.917347767471718,2.917347767471718,0.0
5.0,darces,23,191.14693667476783,191.14693667476783,0.0
5.0,darces,26,220.02908378543142,220.02908378543142,0.0
5.0,darces,27,0.9602476430203384,0.9602476430203384,0.0
5.0,darces,28,102.60204332116494,102.60204332116494,0.0
5.0,ransac,1,7.343177557076631,7.343177557076631,0.0
5.0,ransac,2,492.30819269227726,492.30819269227726,0.0
5.0,ransac,3,1.0211633411023775,1.0211633411023775,0.0
5.0,ransac,4,667.3197104443177,667.3197104443177,0.0
5.0,ransac,6,4.082892456969871,4.082892456969871,0.0
5.0,ransac,10,659.4517464225468,659.4517464225468,0.0
5.0,ransac,11,305.1601071286292,305.1601071286292,0.0
5.0,ransac,12,3.5953640943160625,3.5953640943160625,0.0
5.0,ransac,13,2.0671089170224604,2.0671089170224604,0.0
5.0,ransac,15,2.573608558582236,2.573608558582236,0.0
5.0,ransac,16,91.49520412575632,91.49520412575632,0.0
5.0,ransac,18,4.212253003760899,4.212253003760899,0.0
5.0,ransac,19,91.20677964040061,91.20677964040061,0.0
5.0,ransac,20,40.628385243139,40.628385243139,0.0
5.0,ransac,21,2.0314721687492296,2.0314721687492296,0.0
5.0,ransac,22,2.917347767471718,2.917347767471718,0.0
5.0,ransac,23,191.14693667476783,191.14693667476783,0.0
5.0,ransac,26,213.8911085438394,213.8911085438394,0.0
5.0,ransac,27,0.9602476430203384,0.9602476430203384,0.0
5.0,ransac,28,102.60204332116494,102.60204332116494,0.0
5.0,moga,1,3.3809437258063335,3.0674963289426334,-0.31344739686370016
5.0,moga,2,493.8969088759972,493.7067421366605,-0.19016673933668926
5.0,moga,3,5.460733413739212,5.143249779809449,-0.3174836339297631
5.0,moga,4,666.113486188082,666.1134091619467,-7.702613527271751e-05
5.0,moga,6,4.910849188730309,5.016705780316712,0.10585659158640226
5.0,moga,10,657.9534534025148,657.953426474101,-2.692841383122868e-05
5.0,moga,11,302.0977973086263,302.13376124078565,0.03596393215934768
5.0,moga,12,8.001631177584814,8.05960519478402,0.05797401719920536
5.0,moga,13,9.461429913907898,9.551104430393435,0.08967451648553748
5.0,moga,15,9.522344352563826,9.391339454295249,-0.13100489826857675
5.0,moga,16,96.29572713555733,96.27825631128584,-0.017470824271484275
5.0,moga,18,1.1089357947118244,1.1399173981958326,0.030981603484008247
5.0,moga,19,94.69549214394644,94.66231876448447,-0.03317337946197085
5.0,moga,20,37.54277782719623,37.13726270183828,-0.405515125357951
5.0,moga,21,5.844059947572885,6.153658744920299,0.30959879734741413
5.0,moga,22,5.23565968164038,5.50671387530901,0.27105419366862993
5.0,moga,23,194.77053496211454,194.47033879541348,-0.3001961667010562
5.0,moga,26,211.2941534720079,211.26137351037548,-0.03277996163242847
5.0,moga,27,4.917995362082812,4.6749740460323865,-0.24302131605042554
5.0,moga,28,108.00418530647649,107.07877148989944,-0.9254138165770485
10.0,darces,1,474.05826261706454,474.05826261706454,0.0
10.0,darces,2,786.847518662521,786.847518662521,0.0
10.0,darces,3,1.46323327956359,1.46323327956359,0.0
10.0,darces,4,941.4189954450212,941.4189954450212,0.0
10.0,darces,5,506.0827255006643,506.08272550066425,-5.684341886080802e-14
10.0,darces,6,4.672704400430308,4.672704400430315,7.105427357601002e-15
10.0,darces,7,996.0220553057854,996.0220553057854,0.0
10.0,darces,11,309.12688603231504,309.12688603231504,0.0
10.0,darces,12,619.7542182761873,619.7542182761873,0.0
10.0,darces,13,501.627190980954,501.627190980954,0.0
10.0,darces,15,749.6951677383573,749.6951677383573,0.0
10.0,darces,16,72.32748644098018,72.3274864409802,1.4210854715202004e-14
10.0,darces,18,1390.6033870342603,1390.6033870342603,0.0
10.0,darces,20,422.54311052278337,422.54311052278337,0.0
10.0,darces,23,2.687969458031688,2.687969458031642,-4.618527782440651e-14
10.0,darces,27,238.30427626773786,238.30427626773786,0.0
10.0,darces,28,681.4742366839537,109.7082451216755,-571.7659915622781
10.0,ransac,1,474.05826261706454,474.3777061342248,0.3194435171602663
10.0,ransac,2,786.847518662521,786.847518662521,0.0
10.0,ransac,3,2.1346536421689595,2.1346536421689595,0.0
10.0,ransac,4,941.4189954450212,941.4189954450212,0.0
10.0,ransac,5,506.0827255006643,506.08272550066425,-5.684341886080802e-14
10.0,ransac,6,3.2420392645408773,3.242039264540893,1.554312234475219e-14
10.0,ransac,7,996.0220553057854,996.0220553057854,0.0
10.0,ransac,11,309.12688603231504,309.12688603231504,0.0
10.0,ransac,12,619.7542182761873,619.7542182761873,0.0
10.0,ransac,13,501.627190980954,501.627190980954,0.0
10.0,ransac,15,742.2034001811402,742.2034001811402,0.0
10.0,ransac,16,72.32748644098018,72.3274864409802,1.4210854715202004e-14
10.0,ransac,18,1390.6033870342603,1390.6033870342603,0.0
10.0,ransac,20,422.54311052278337,422.54311052278337,0.0
10.0,ransac,23,2.687969458031688,2.687969458031642,-4.618527782440651e-14
10.0,ransac,27,238.30427626773786,238.30427626773786,0.0
10.0,ransac,28,681.4742366839537,109.7082451216755,-571.7659915622781
10.0,moga,1,477.94094083333084,477.8871905943015,-0.053750239029341174
10.0,moga,2,781.2649760283542,781.2684176454969,0.0034416171426983055
10.0,moga,3,2.502562152960167,2.5025534516106083,-8.701349558659643e-06
10.0,moga,4,938.0523391820169,945.017862173314,6.965522991297121
10.0,moga,5,511.8413482913099,511.80440117877794,-0.03694711253194782
10.0,moga,6,0.7199842075493332,0.720293122705093,0.00030891515575981465
10.0,moga,7,1001.8809390616253,1001.8767589996054,-0.004180062019941033
10.0,moga,11,308.1983976081768,308.04510549772124,-0.15329211045553848
10.0,moga,12,621.2894157933658,621.289309208292,-0.00010658507380867377
10.0,moga,13,505.5970998529919,505.9767010509593,0.37960119796741765
10.0,moga,15,750.0797340723323,750.0771922566911,-0.0025418156411660675
10.0,moga,16,77.5819393645504,76.81534732580812,-0.7665920387422744
10.0,moga,18,1386.970820378266,1386.9720829349028,0.0012625566369024455
10.0,moga,20,423.94101895499756,423.42150928894546,-0.5195096660521017
10.0,moga,23,4.234878699806905,5.378496903133353,1.1436182033264481
10.0,moga,27,238.89981728963843,238.70222359816887,-0.19759369146956374
10.0,moga,28,678.5185041692821,112.92493581014057,-565.5935683591415
