resolution,site,truth_x_m,truth_y_m,truth_z_m,darces_status,darces_available,darces_source,darces_x_m,darces_y_m,darces_z_m,darces_heading_deg,darces_xy_error_m,darces_z_error_m,darces_heading_error_deg,ransac_status,ransac_available,ransac_source,ransac_x_m,ransac_y_m,ransac_z_m,ransac_heading_deg,ransac_xy_error_m,ransac_z_error_m,ransac_heading_error_deg,moga_status,moga_available,moga_source,moga_x_m,moga_y_m,moga_z_m,moga_heading_deg,moga_xy_error_m,moga_z_error_m,moga_heading_error_deg,darces_to_ransac_error_reduction_m,darces_to_ransac_result,ransac_to_moga_error_reduction_m,ransac_to_moga_result,darces_to_moga_error_reduction_m,darces_to_moga_result,best_available_stage
0p25m,131,-587.3361948503389,1748.5488907235288,-1899.9163787765308,skipped_insufficient_features,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,189,-543.6740153518185,1709.2273209933635,-1899.980465635776,no_solution,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,202,-535.3051337494954,1699.0717732085766,-1899.6379363253075,solution,True,,-535.6512318917124,1700.3392631735137,-1899.6336880475283,-49.14720144348397,1.3138929694850847,0.004248277779197451,3.456681182087351,solution,True,darces,-535.6512318917124,1700.3392631735137,-1899.6336880475283,-49.14720144348397,1.3138929694850847,0.004248277779197451,3.456681182087351,solution,True,darces,-535.423054901069,1700.611738466885,-1899.6336880475283,-52.556956735022126,1.5444735008363057,0.004248277779197451,0.04692589054917947,0.0,unchanged,-0.23058053135122103,worsened,-0.23058053135122103,worsened,DARCES
0p25m,229,-518.1692381773893,1677.5952571215457,-1898.9549528982318,solution,True,,-520.3399220775021,1679.048848143009,-1899.045752465725,-45.14554987777328,2.6124309468171716,0.09079956749314988,1.256930120466052,solution,True,darces,-520.3399220775021,1679.048848143009,-1899.045752465725,-45.14554987777328,2.6124309468171716,0.09079956749314988,1.256930120466052,solution,True,darces,-519.2710084056195,1681.5336901229239,-1899.045752465725,-46.370938098629445,4.089639610302947,0.09079956749314988,0.03154189960990202,0.0,unchanged,-1.4772086634857753,worsened,-1.4772086634857753,worsened,DARCES
0p25m,252,-502.9241508482009,1659.8254670380782,-1898.696530022767,solution,True,,-103.48579146796493,843.1407522308889,-1894.667791903019,-52.67171351686868,909.1341630057,4.028738119748141,0.7932621591237989,solution,True,darces,-103.48579146796493,843.1407522308889,-1894.667791903019,-52.67171351686868,909.1341630057,4.028738119748141,0.7932621591237989,solution,True,darces,-102.0104389676443,843.9230602637039,-1894.667791903019,-51.86153554302266,909.0811524578334,4.028738119748141,0.01691581472219919,0.0,unchanged,0.05301054786662007,improved,0.05301054786662007,improved,MOGA
0p25m,262,-497.1000843802959,1651.5834628596951,-1898.6485563791102,solution,True,,-497.5062686599559,1653.6842882317644,-1898.6427282691002,-60.06072739997086,2.139731972227561,0.005828110010043019,0.08350744924763376,solution,True,darces,-497.5062686599559,1653.6842882317644,-1898.6427282691002,-60.06072739997086,2.139731972227561,0.005828110010043019,0.08350744924763376,solution,True,darces,-498.3294651851417,1655.7196304963634,-1898.6427282691002,-60.18062777629448,4.315004041938427,0.005828110010043019,0.03639292707597212,0.0,unchanged,-2.175272069710866,worsened,-2.175272069710866,worsened,DARCES
0p25m,273,-491.32452554961617,1641.9071782840776,-1898.538571015022,solution,True,,-491.1674384523045,1642.8171762151505,-1898.402600646019,-57.38635684884072,0.9234568699721447,0.1359703690029619,0.9556125790135752,solution,True,darces,-491.1674384523045,1642.8171762151505,-1898.402600646019,-57.38635684884072,0.9234568699721447,0.1359703690029619,0.9556125790135752,solution,True,darces,-489.84936551102277,1643.724314303543,-1898.402600646019,-58.3432467766058,2.340529951250628,0.1359703690029619,0.0012773487515215297,0.0,unchanged,-1.4170730812784833,worsened,-1.4170730812784833,worsened,DARCES
0p25m,277,-489.18646389721505,1638.4306311223627,-1898.3967253073845,no_solution,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,293,-480.4980325978644,1624.5968454343554,-1898.0863004847058,no_solution,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,377,-436.3525068444849,1552.2997584514658,-1896.2062955081142,skipped_insufficient_features,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,390,-429.7309701704363,1541.0020597226303,-1896.1269497903882,skipped_insufficient_features,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,423,-412.6854979029223,1511.9957737347017,-1895.5134243622672,solution,True,,-413.3468245873436,1512.3298838790797,-1895.5268372893333,-59.45961260160947,0.7409335814389287,0.013412927066156044,0.007783679356663242,solution,True,darces,-413.3468245873436,1512.3298838790797,-1895.5268372893333,-59.45961260160947,0.7409335814389287,0.013412927066156044,0.007783679356663242,solution,True,darces,-413.1628033568617,1512.2737179742649,-1895.5268372893333,-59.45147133554247,0.5523345876066372,0.013412927066156044,0.0003575867103441154,0.0,unchanged,0.1885989938322915,improved,0.1885989938322915,improved,MOGA
0p25m,461,-398.29575659193654,1476.3921670924367,-1894.1868862315728,solution,True,,-398.66429489592446,1477.0091552183646,-1894.1564211845398,-71.95734724996164,0.7186757468026668,0.030465047032976145,0.323120323368812,solution,True,darces,-398.66429489592446,1477.0091552183646,-1894.1564211845398,-71.95734724996164,0.7186757468026668,0.030465047032976145,0.323120323368812,solution,True,darces,-398.0084941631511,1478.4973205597073,-1894.1564211845398,-72.30498926708127,2.124662519967154,0.030465047032976145,0.024521693750818484,0.0,unchanged,-1.4059867731644873,worsened,-1.4059867731644873,worsened,DARCES
0p25m,484,-385.81077053518493,1457.3825240017723,-1893.5169643317445,solution,True,,169.83775855984655,2096.517404262314,-1911.8448342978954,-78.10870009607885,846.8994527398921,18.327869966150956,4.844212002154052,solution,True,ransac,170.1140888270787,2092.251229327716,-1911.7699768990278,-74.28306863454735,843.8665310694532,18.25301256728335,8.669843463685538,solution,True,ransac,170.0050044757162,2093.555025213055,-1911.7699768990278,-82.92478596414436,844.7760810110501,18.25301256728335,0.02812613408853948,3.0329216704388955,improved,-0.9095499415968789,worsened,2.1233717288420166,improved,RANSAC
0p25m,490,-386.0783179163933,1451.285386540734,-1893.4654506527347,skipped_insufficient_features,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,538,-370.62116295746205,1407.1137867742098,-1891.970455480484,skipped_insufficient_features,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,568,-352.17740595401386,1382.8594539623266,-1892.0655482217555,skipped_insufficient_features,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,580,-347.66443556251926,1371.5200681430576,-1892.393551137202,no_solution,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,591,-342.1036747018115,1361.7487365615832,-1892.976558937106,skipped_insufficient_features,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,672,-303.2804603422394,1289.263905236986,-1894.1574670472628,solution,True,,-303.5462039988333,1289.8096553754283,-1894.187725096941,-58.90938844864759,0.6070114534584635,0.030258049678195675,1.0031554753472847,solution,True,darces,-303.5462039988333,1289.8096553754283,-1894.187725096941,-58.90938844864759,0.6070114534584635,0.030258049678195675,1.0031554753472847,solution,True,darces,-304.0034696035995,1289.5045733926518,-1894.187725096941,-57.924581973482326,0.7620128300521608,0.030258049678195675,0.018349000182013978,0.0,unchanged,-0.15500137659369728,worsened,-0.15500137659369728,worsened,DARCES
0p25m,682,-297.8025852709442,1280.7661027050076,-1894.8789025830588,skipped_insufficient_features,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,724,-282.3471700070822,1241.8101706605858,-1895.4558068310187,solution,True,,-282.94994881957683,1242.2372656141958,-1895.4260779619217,-72.31578792118589,0.7387505642581039,0.02972886909697081,1.3724768456310414,solution,True,darces,-282.94994881957683,1242.2372656141958,-1895.4260779619217,-72.31578792118589,0.7387505642581039,0.02972886909697081,1.3724768456310414,solution,True,darces,-283.7939957080715,1242.8453036896758,-1895.4260779619217,-70.88249104179259,1.7789898810719589,0.02972886909697081,0.06082003376225661,0.0,unchanged,-1.0402393168138548,worsened,-1.0402393168138548,worsened,DARCES
0p25m,821,-226.61425707540195,1167.012626340522,-1896.4871788023572,skipped_insufficient_features,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,871,-210.87701200501743,1128.7843554421856,-1894.6749228948702,no_solution,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,941,-192.21096355920315,1066.7065973459908,-1894.4229696930786,no_solution,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,975,-174.12990780152217,1037.857904170406,-1893.3995321555674,solution,True,,-173.9020529634314,1037.6508728964588,-1893.3626204133034,-73.91307094021197,0.3078632417707222,0.03691174226401017,0.8947853435688842,solution,True,darces,-173.9020529634314,1037.6508728964588,-1893.3626204133034,-73.91307094021197,0.3078632417707222,0.03691174226401017,0.8947853435688842,solution,True,darces,-177.00171669767985,1034.8538947843444,-1893.3626204133034,-74.80538773685609,4.155882424659868,0.03691174226401017,0.002468546924761286,0.0,unchanged,-3.848019182889146,worsened,-3.848019182889146,worsened,DARCES
0p25m,991,-167.59472048422742,1023.0421695495714,-1893.4251669024616,solution,True,,-168.52814548909907,1024.127420534193,-1893.4317611455917,-57.46426469548205,1.431450990897676,0.006594243130166433,0.1349007445782604,solution,True,darces,-168.52814548909907,1024.127420534193,-1893.4317611455917,-57.46426469548205,1.431450990897676,0.006594243130166433,0.1349007445782604,solution,True,darces,-167.6559532271874,1023.5916234414384,-1893.4317611455917,-57.61283866805938,0.5528553410234484,0.006594243130166433,0.013673227999073776,0.0,unchanged,0.8785956498742277,improved,0.8785956498742277,improved,MOGA
0p25m,1053,-148.96269927511116,964.6644236579679,-1894.1719930019128,solution,True,,-147.88162943018406,964.0514429625671,-1894.1219353750348,-64.6549697559608,1.2427619814528954,0.05005762687801507,1.902756254269633,solution,True,darces,-147.88162943018406,964.0514429625671,-1894.1219353750348,-64.6549697559608,1.2427619814528954,0.05005762687801507,1.902756254269633,solution,True,darces,-146.4068642443941,965.919787795229,-1894.1219353750348,-66.57004761313415,2.8474957105080954,0.05005762687801507,0.012321602903697486,0.0,unchanged,-1.6047337290552,worsened,-1.6047337290552,worsened,DARCES
0p25m,1084,-137.88139935203117,935.1521560029894,-1893.9378621056023,solution,True,,-138.26943306922576,937.9015262740313,-1893.923291951418,-75.60788670145165,2.7766179162731413,0.014570154184411876,0.48525737030948335,solution,True,darces,-138.26943306922576,937.9015262740313,-1893.923291951418,-75.60788670145165,2.7766179162731413,0.014570154184411876,0.48525737030948335,solution,True,darces,-138.53908637858726,935.7796632255516,-1893.923291951418,-75.1358631506031,0.9090200983850633,0.014570154184411876,0.013233819460941355,0.0,unchanged,1.867597817888078,improved,1.867597817888078,improved,MOGA
0p25m,1093,-136.07286630767078,926.2703201327631,-1893.7925984229075,solution,True,,-134.6309064657107,926.0659706142849,-1893.7762256264687,-92.44096175523585,1.4563677116469729,0.016372796438872683,0.9465058304766956,solution,True,darces,-134.6309064657107,926.0659706142849,-1893.7762256264687,-92.44096175523585,1.4563677116469729,0.016372796438872683,0.9465058304766956,solution,True,darces,-135.3805727950837,926.6988346733816,-1893.7762256264687,-93.38056593626636,0.8141836519432355,0.016372796438872683,0.00690164944619799,0.0,unchanged,0.6421840597037374,improved,0.6421840597037374,improved,MOGA
0p25m,1096,-136.37462400740242,923.2314407269382,-1893.8752400209466,solution,True,,-136.14631489354045,924.8355560769638,-1893.840997159481,-97.27012618448585,1.620281181665768,0.03424286146560007,0.6112403773933863,solution,True,darces,-136.14631489354045,924.8355560769638,-1893.840997159481,-97.27012618448585,1.620281181665768,0.03424286146560007,0.6112403773933863,solution,True,darces,-136.04586589331203,923.1121947870892,-1893.840997159481,-96.6637358661069,0.3497163018087054,0.03424286146560007,0.004850059014446037,0.0,unchanged,1.2705648798570626,improved,1.2705648798570626,improved,MOGA
0p25m,1109,-137.0457050631918,910.1050368925481,-1894.6364704743548,skipped_insufficient_features,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,1170,-104.90452885993852,859.2502407219906,-1894.481441111303,skipped_insufficient_features,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,1188,-93.28874465726699,845.4714325590583,-1894.6218219521838,solution,True,,25.84051515631583,746.193409711378,-1895.2232990413904,-52.58150491169334,155.07387389330495,0.6014770892065826,0.2826930873460469,solution,True,darces,25.84051515631583,746.193409711378,-1895.2232990413904,-52.58150491169334,155.07387389330495,0.6014770892065826,0.2826930873460469,solution,True,darces,27.313429806898068,745.0409437598837,-1895.2232990413904,-52.8529117195892,156.9431985335014,0.6014770892065826,0.01128627945017065,0.0,unchanged,-1.869324640196453,worsened,-1.869324640196453,worsened,DARCES
0p25m,1229,-68.99107502044467,813.6743143198627,-1894.7003131209292,no_solution,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,1269,-48.131881828337896,778.6994615788142,-1894.1632037006584,solution,True,,-48.41477851389428,779.4650804255174,-1894.1449185162783,-58.96675672166009,0.816212443623553,0.018285184380147257,0.09321633032348586,solution,True,darces,-48.41477851389428,779.4650804255174,-1894.1449185162783,-58.96675672166009,0.816212443623553,0.018285184380147257,0.09321633032348586,solution,True,darces,-47.214474667783364,778.6708057132444,-1894.1449185162783,-59.05759108884641,0.917854594621765,0.018285184380147257,0.0023819631371716807,0.0,unchanged,-0.10164215099821194,worsened,-0.10164215099821194,worsened,DARCES
0p25m,1286,-41.456405164425405,762.810789950446,-1895.0539507509482,no_solution,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,1310,-29.093001068090985,741.8963616980541,-1895.203730997336,no_solution,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,1313,-27.471846187615597,739.3270258207738,-1895.1445268924303,solution,True,,-28.51384718425894,740.2394894641144,-1895.0939933657646,-56.135727857960944,1.3850472834615333,0.05053352666573119,1.2862413382890168,solution,True,darces,-28.51384718425894,740.2394894641144,-1895.0939933657646,-56.135727857960944,1.3850472834615333,0.05053352666573119,1.2862413382890168,solution,True,darces,-29.169434665020813,740.7122599143283,-1895.0939933657646,-57.39675612636684,2.1910454428342914,0.05053352666573119,0.025213069883123,0.0,unchanged,-0.8059981593727581,worsened,-0.8059981593727581,worsened,DARCES
0p25m,1315,-26.305159114617254,737.6752924656557,-1895.117915562132,solution,True,,-25.926440397497103,739.3560411578007,-1895.067708492279,-50.35847404648235,1.7228882821716316,0.05020706985305878,0.07403335609430428,solution,True,darces,-25.926440397497103,739.3560411578007,-1895.067708492279,-50.35847404648235,1.7228882821716316,0.05020706985305878,0.07403335609430428,solution,True,darces,-26.990409916468884,739.7603818172668,-1895.067708492279,-50.27520104087899,2.194804379811562,0.05020706985305878,0.00923964950905388,0.0,unchanged,-0.4719160976399306,worsened,-0.4719160976399306,worsened,DARCES
0p25m,1325,-18.507551448834192,731.1010740050724,-1895.0328325450582,solution,True,,-20.009227258867462,732.7749846456153,-1894.9794033914804,-39.61207148957426,2.248779017814283,0.05342915357778111,1.3654982588310531,minimal_unverified,True,darces,-20.009227258867462,732.7749846456153,-1894.9794033914804,-39.61207148957426,2.248779017814283,0.05342915357778111,1.3654982588310531,solution,True,darces,-20.29576488424044,732.4049112961754,-1894.9794033914804,-40.97143299440814,2.213074551893434,0.05342915357778111,0.006136753997191,0.0,unchanged,0.03570446592084897,improved,0.03570446592084897,improved,MOGA
0p25m,1326,-17.733503571994447,730.4196775494465,-1895.0078081300423,no_solution,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,1332,-13.492963859575639,726.0621337617229,-1894.7946733584586,solution,True,,-621.9324811765788,1922.2213255637644,-1897.3795042932034,-56.56347130983729,1342.0117206512994,2.5848309347447866,0.487059950059205,solution,True,darces,-621.9324811765788,1922.2213255637644,-1897.3795042932034,-56.56347130983729,1342.0117206512994,2.5848309347447866,0.487059950059205,solution,True,darces,-618.8730872304815,1924.6158653414261,-1897.3795042932034,-56.097523960968616,1342.7643654998462,2.5848309347447866,0.021112601190526055,0.0,unchanged,-0.7526448485468791,worsened,-0.7526448485468791,worsened,DARCES
0p25m,1388,6.534320807127642,673.4576423169165,-1895.1197465347568,solution,True,,5.680724927847644,673.4539584943818,-1895.1130257844925,-70.0223025553297,0.8536038282905369,0.006720750264321396,0.4559506912056577,solution,True,darces,5.680724927847644,673.4539584943818,-1895.1130257844925,-70.0223025553297,0.8536038282905369,0.006720750264321396,0.4559506912056577,solution,True,darces,6.50728128007017,672.8027921568957,-1895.1130257844925,-70.4855696137527,0.6554081690844624,0.006720750264321396,0.00731636721734991,0.0,unchanged,0.19819565920607451,improved,0.19819565920607451,improved,MOGA
0p25m,1390,7.239276933732526,671.5195319914667,-1895.156489696398,no_solution,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,1406,13.56660903069951,656.5875253904594,-1895.0158646775703,solution,True,,-1612.7316955227045,364.92802844006656,-1926.7928403615952,-55.50106664522131,1652.2443637533258,31.77697568402482,0.42125298680173273,solution,True,darces,-1612.7316955227045,364.92802844006656,-1926.7928403615952,-55.50106664522131,1652.2443637533258,31.77697568402482,0.42125298680173273,solution,True,darces,-1612.4766515123506,362.2033233242959,-1926.7928403615952,-55.89162306605505,1652.476548572961,31.77697568402482,0.030696565968003246,0.0,unchanged,-0.23218481963522208,worsened,-0.23218481963522208,worsened,DARCES
0p25m,1428,25.20815026196567,637.6157240645402,-1895.0545609420128,no_solution,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,1474,52.786581821883715,600.310305166003,-1894.978999369254,solution,True,,52.1910052875852,600.8659106131347,-1895.0123279243708,-59.76027492908916,0.8144991228291532,0.03332855511666821,0.07345515479130427,solution,True,darces,52.1910052875852,600.8659106131347,-1895.0123279243708,-59.76027492908916,0.8144991228291532,0.03332855511666821,0.07345515479130427,solution,True,darces,52.3775943990374,600.9897907223643,-1895.0123279243708,-59.686296736530274,0.7930771295089368,0.03332855511666821,0.0005230377675925649,0.0,unchanged,0.021421993320216326,improved,0.021421993320216326,improved,MOGA
0p25m,1483,57.620383380076305,592.5280787833653,-1894.5438186950812,solution,True,,56.81471132377851,593.4810435581741,-1894.596548244357,-58.12867278078833,1.247897962305152,0.05272954927590945,0.016514670752656002,solution,True,darces,56.81471132377851,593.4810435581741,-1894.596548244357,-58.12867278078833,1.247897962305152,0.05272954927590945,0.016514670752656002,solution,True,darces,58.57922550986256,594.8046203956719,-1894.596548244357,-58.066701600432246,2.470226698587896,0.05272954927590945,0.07848585110873268,0.0,unchanged,-1.2223287362827437,worsened,-1.2223287362827437,worsened,DARCES
0p25m,1510,72.74440766152088,569.7893098116681,-1895.8990432747205,no_solution,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,1546,56.060141587775774,595.0372339988157,-1894.6262161592788,solution,True,,56.91529262041544,593.8000026255581,-1894.6828733682632,121.83653298490846,1.5040029120974396,0.05665720898446125,0.004015508887505348,solution,True,darces,56.91529262041544,593.8000026255581,-1894.6828733682632,121.83653298490846,1.5040029120974396,0.05665720898446125,0.004015508887505348,solution,True,darces,56.830499564567916,594.2665216748971,-1894.6828733682632,121.8341719743283,1.0897012887242405,0.05665720898446125,0.00637651946765086,0.0,unchanged,0.4143016233731991,improved,0.4143016233731991,improved,MOGA
0p25m,1611,18.44020551145661,648.7886974463504,-1894.9609330268077,no_solution,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,1630,9.092731745750143,665.532471513149,-1895.336543399919,no_solution,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,1641,5.664325586214318,676.2528083003594,-1895.0371049366577,solution,True,,-12.373237615305566,712.517989335327,-1895.0794582664967,109.45629222263895,40.50329667752731,0.04235332983898843,0.1086993405243959,solution,True,ransac,-12.518747418304475,710.2543385904504,-1895.0169320479035,108.63349408860216,38.55811465769083,0.020172888754132146,0.9314974745611835,solution,True,ransac,-12.539057442836231,710.1272670875804,-1895.0169320479035,109.56196339530861,38.45571624387535,0.020172888754132146,0.003028167854728595,1.94518201983648,improved,0.10239841381547876,improved,2.0475804336519587,improved,MOGA
