resolution,stage,available,total_sites,availability_percent,median_xy_error_m,mean_xy_error_m,rmse_xy_m,maximum_xy_error_m,within_50m,within_50m_percent_of_available
0p25m,DARCES,0,28,0.0,,,,,0,
0p25m,RANSAC,0,28,0.0,,,,,0,
0p25m,MOGA,0,28,0.0,,,,,0,
1p5m,DARCES,12,28,42.857142857142854,264.563289417713,348.86117304987687,541.8951166314312,1374.311253077149,5,41.666666666666664
1p5m,RANSAC,12,28,42.857142857142854,264.563289417713,349.13363592508614,542.328106326071,1374.311253077149,5,41.666666666666664
1p5m,MOGA,12,28,42.857142857142854,262.1862388827657,349.0105824943514,541.1503906138937,1367.8430398053788,5,41.666666666666664
5m,DARCES,20,28,71.42857142857143,23.985781400107815,144.74276463162408,257.8884140987738,667.3197104443177,11,55.0
5m,RANSAC,20,28,71.42857142857143,23.985781400107815,144.30074248724554,257.58139122819676,667.3197104443177,11,55.0
5m,MOGA,20,28,71.42857142857143,23.53256108988003,146.02545495904297,257.4974733240637,666.113486188082,11,55.0
10m,DARCES,17,28,60.714285714285715,501.627190980954,511.6887896850948,637.5696517427722,1390.6033870342603,3,17.647058823529413
10m,RANSAC,17,28,60.714285714285715,501.627190980954,511.2034360185948,637.0534269336636,1390.6033870342603,3,17.647058823529413
10m,MOGA,17,28,60.714285714285715,505.5970998529919,512.3243950553268,637.580200443876,1386.970820378266,3,17.647058823529413
