factor,n,p_value,spearman_rho
local_feature_count,137,0.04710371948380763,-0.16994249967057803
evaluated_hypothesis_count,137,1.3837820489110516e-06,-0.3988355473170532
cluster_size,137,4.0874277688040896e-09,-0.4761319731274112
correspondence_count,137,1.7327787255719868e-05,-0.3581304333952148
selected_fraction,137,0.38636163576373983,-0.07458765802730817
terrain_mae_m,137,3.2714172236763004e-29,0.7795221110924736
overlap,137,1.2970898948434847e-06,-0.3998092444500718
correspondence_xy_rmse_m,137,0.059368614741722364,0.16150580065973508
correspondence_z_rmse_m,137,9.371413080197597e-08,0.43696306334186863
heading_error_deg,137,0.0001643042904766802,0.316536588837986
median_sigma_z_m,137,0.6265366000316744,0.041939650497446315
median_feature_range_m,137,0.8548466207531076,0.01577300317415148
