site_number,frame_index,frame_id,run_id,source_sequence,source_frame_index,timestamp_ns,scan_path,pose_path,transform_path,global_frame,tx,ty,tz,qx,qy,qz,qw,stage_origin_x_m,stage_origin_y_m,stage_yaw_deg,quality_flag,sensor_config_id
1,1341,001341,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,0,3583333520,scans/001341.npy,poses/001341.npy,transforms/001341.npz,global_dem,644.8439793056787,-5510.9894563618545,-0.08731358461425726,-0.008894132434568928,-0.005059224904748445,0.000284342865461474,0.9999476075278817,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
2,1342,001342,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,1,9283333817,scans/001342.npy,poses/001342.npy,transforms/001342.npz,global_dem,645.8498503885025,-5510.9894652981375,-0.07997711864012952,-0.0059540169675655575,-0.0031814390975840484,-0.0011299693713218305,0.9999765753738625,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
3,1343,001343,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,2,15400000803,scans/001343.npy,poses/001343.npy,transforms/001343.npz,global_dem,646.8733229523135,-5510.967611513184,-0.07928091094734774,0.0008728279763145169,0.003444510203392553,0.07629581028644497,0.9970788949995468,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
4,1344,001344,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,3,19516667684,scans/001344.npy,poses/001344.npy,transforms/001344.npz,global_dem,647.8320709584278,-5510.632821088394,-0.09155700745354312,0.006292269498714885,0.008881204013033866,0.26106459613151506,0.9652599692344666,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
5,1345,001345,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,4,23350001217,scans/001345.npy,poses/001345.npy,transforms/001345.npz,global_dem,648.5189356255365,-5509.915522799458,-0.10056783543944614,0.0041675691189011314,0.002878195931388546,0.4889654963137191,0.8722884217794583,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
6,1346,001346,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,5,30266668245,scans/001346.npy,poses/001346.npy,transforms/001346.npz,global_dem,649.0767129983473,-5509.069896908799,-0.1033497684809665,9.564722092272793e-05,-0.0008197603017488462,0.35736567431772764,0.9339641822169054,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
7,1347,001347,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,6,34300001788,scans/001347.npy,poses/001347.npy,transforms/001347.npz,global_dem,650.0328341873787,-5508.71942328239,-0.09762271588710647,-0.0020356517116872355,-0.0027234521511119137,-0.01595667757395212,0.9998669028282166,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
8,1348,001348,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,7,37516668623,scans/001348.npy,poses/001348.npy,transforms/001348.npz,global_dem,651.0493356322639,-5508.900887895959,-0.0923968796076789,0.0014415947833187478,-0.006206608499743699,-0.0883000415720516,0.996073542703442,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
9,1349,001349,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,8,41200002148,scans/001349.npy,poses/001349.npy,transforms/001349.npz,global_dem,652.0439723565037,-5509.013464285993,-0.07845675824696591,0.003630823922211117,-0.009495466563713908,-0.022636115653138375,0.9996920823436191,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
10,1350,001350,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,9,47133335791,scans/001350.npy,poses/001350.npy,transforms/001350.npz,global_dem,653.0653666970207,-5508.912417601022,-0.05660999116964427,0.0014089276213086882,-0.008615788246686061,0.1857985911603128,0.9825490657665342,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
11,1351,001351,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,10,50333335958,scans/001351.npy,poses/001351.npy,transforms/001351.npz,global_dem,653.8356580143867,-5508.2760510499165,-0.04018673672770018,-0.005378642638893722,-0.008773056613324195,0.40302104070435446,0.9151328561638478,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
12,1352,001352,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,11,53416669452,scans/001352.npy,poses/001352.npy,transforms/001352.npz,global_dem,654.5014440569175,-5507.511437608557,-0.0321421277015434,-0.007243349340594985,-0.009530540146850423,0.4057111508359331,0.9139229534168744,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
13,1353,001353,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,12,56500002946,scans/001353.npy,poses/001353.npy,transforms/001353.npz,global_dem,655.1983962288042,-5506.776452522913,-0.021150302111307917,-0.003310204512638995,-0.010258878998445261,0.3859489455342565,0.9224571585655212,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
14,1354,001354,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,13,59583336440,scans/001354.npy,poses/001354.npy,transforms/001354.npz,global_dem,655.9157929042468,-5506.059642032294,-0.005339475998682508,-0.00292359704987268,-0.012234429273992332,0.37899677467682374,0.925312496460085,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
15,1355,001355,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,14,62666669934,scans/001355.npy,poses/001355.npy,transforms/001355.npz,global_dem,656.6408364543851,-5505.345422738943,0.014378666897504722,-0.003412177538739729,-0.010449475505748342,0.3778368379222255,0.9258069396018983,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
16,1356,001356,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,15,65783336764,scans/001356.npy,poses/001356.npy,transforms/001356.npz,global_dem,657.3782128714513,-5504.620346929557,0.030455682838178233,-0.0008725169984967379,-0.004639118018713917,0.3823015901482048,0.9240255469781395,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
17,1357,001357,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,16,68900003593,scans/001357.npy,poses/001357.npy,transforms/001357.npz,global_dem,658.1022328830835,-5503.889301898348,0.03516385311441972,-0.005277662152006497,-0.0056405531395175585,0.3819609626187614,0.9241461753845215,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
18,1358,001358,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,17,72033337090,scans/001358.npy,poses/001358.npy,transforms/001358.npz,global_dem,658.8288281527425,-5503.1617291172215,0.04285090732601543,-0.004369454241025469,-0.006268870563383454,0.3810363494263768,0.9245284795761108,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
19,1359,001359,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,18,75083337249,scans/001359.npy,poses/001359.npy,transforms/001359.npz,global_dem,659.5352468344051,-5502.455051122767,0.05473255984056957,-0.004897022894857078,-0.00978643291068456,0.3818224006081556,0.9241709253657989,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
20,1360,001360,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,19,78150004075,scans/001360.npy,poses/001360.npy,transforms/001360.npz,global_dem,660.2438312437552,-5501.74404791604,0.07360822076465007,-0.005271619988110878,-0.013200119690421215,0.3817288451294926,0.9241650586659091,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
21,1361,001361,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,20,81250004237,scans/001361.npy,poses/001361.npy,transforms/001361.npz,global_dem,660.9657409281715,-5501.02865401925,0.0945371848133062,-5.137076010193843e-05,-0.013985113103240465,0.382003214468214,0.9240551704895581,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
22,1362,001362,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,21,84383337734,scans/001362.npy,poses/001362.npy,transforms/001362.npz,global_dem,661.6965274058498,-5500.300704935134,0.11828260635727916,-0.00026670705656929773,-0.011917560986125696,0.38164605798743406,0.9242316738946681,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
23,1363,001363,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,22,88466671280,scans/001363.npy,poses/001363.npy,transforms/001363.npz,global_dem,662.4121236448009,-5499.585756918119,0.1326542293730154,-0.002443230225774191,-0.005398152380646751,0.38279290082412787,0.9238151793814543,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
24,1364,001364,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,23,94116671575,scans/001364.npy,poses/001364.npy,transforms/001364.npz,global_dem,663.2246219904457,-5498.9824340922705,0.13663249070373035,-0.0034292672164005452,0.0012644068834611285,0.1681107318592343,0.9857613419257951,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
