frame_index,frame_id,run_id,source_sequence,source_frame_index,timestamp_ns,scan_path,pose_path,transform_path,global_frame,tx,ty,tz,qx,qy,qz,qw,stage_origin_x_m,stage_origin_y_m,stage_yaw_deg,quality_flag,sensor_config_id
0,000000,east_plateau_safe,apollo15rille_east_plateau_safe_03,0,23383334552,scans/000000.npy,poses/000000.npy,transforms/000000.npz,global_dem,-670.6104089897015,1844.8922730167885,-0.5001220703054112,0.03158920421484725,-0.01511234288965359,-0.49144590947070804,0.8702038021831248,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
1,000001,east_plateau_safe,apollo15rille_east_plateau_safe_03,1,31600001648,scans/000001.npy,poses/000001.npy,transforms/000001.npz,global_dem,-670.0775828389632,1844.0145293304513,-0.499877928542466,0.029836796027904008,-0.019468898439817507,-0.4895622821108945,0.8712402077100795,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
2,000002,east_plateau_safe,apollo15rille_east_plateau_safe_03,2,34733335144,scans/000002.npy,poses/000002.npy,transforms/000002.npz,global_dem,-669.5400921403398,1843.1328690677926,-0.4908447242739996,0.02634741156958891,-0.024194556759020144,-0.48838926807316435,0.8718924017089357,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
3,000003,east_plateau_safe,apollo15rille_east_plateau_safe_03,3,37850001974,scans/000003.npy,poses/000003.npy,transforms/000003.npz,global_dem,-669.003859159551,1842.2572078337853,-0.46911620751284816,0.020651285404938026,-0.027663649091671634,-0.48800371953572574,0.8721585960416566,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
4,000004,east_plateau_safe,apollo15rille_east_plateau_safe_03,4,40966668803,scans/000004.npy,poses/000004.npy,transforms/000004.npz,global_dem,-668.4653813487171,1841.3838229012576,-0.43652343294144447,0.0208498655043951,-0.029784346417146623,-0.487406418752837,0.8724179954445496,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
5,000005,east_plateau_safe,apollo15rille_east_plateau_safe_03,5,44100002299,scans/000005.npy,poses/000005.npy,transforms/000005.npz,global_dem,-667.9274112499888,1840.5034599337391,-0.40307616617441416,0.023636170604712084,-0.03225703715226105,-0.48780587138625586,0.872035691261773,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
6,000006,east_plateau_safe,apollo15rille_east_plateau_safe_03,6,47150002459,scans/000006.npy,poses/000006.npy,transforms/000006.npz,global_dem,-667.4036869007111,1839.6481662024516,-0.3660888603771962,0.025157700623456944,-0.03607532953202014,-0.4879018003386636,0.8717898221043806,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
7,000007,east_plateau_safe,apollo15rille_east_plateau_safe_03,7,50233335953,scans/000007.npy,poses/000007.npy,transforms/000007.npz,global_dem,-666.8785582656941,1838.7845063632872,-0.31933592956984463,0.022615344504201745,-0.041723061774701455,-0.48791345794660346,0.8716009349832575,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
8,000008,east_plateau_safe,apollo15rille_east_plateau_safe_03,8,53333336114,scans/000008.npy,poses/000008.npy,transforms/000008.npz,global_dem,-666.3497341424974,1837.915332856205,-0.26782225656777736,0.024436837912142472,-0.047970664786713774,-0.487633608377599,0.8713868946991451,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
9,000009,east_plateau_safe,apollo15rille_east_plateau_safe_03,9,56450002944,scans/000009.npy,poses/000009.npy,transforms/000009.npz,global_dem,-665.8202898924004,1837.0413471085617,-0.20239256793491764,0.023703202227621508,-0.05316638647834125,-0.4875716944239496,0.8711402506769796,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
10,000010,east_plateau_safe,apollo15rille_east_plateau_safe_03,10,59500003103,scans/000010.npy,poses/000010.npy,transforms/000010.npz,global_dem,-665.2988293275982,1836.18768749817,-0.13269041839006485,0.022495859919674552,-0.055334604236252444,-0.48632841612618916,0.8717320055663231,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
11,000011,east_plateau_safe,apollo15rille_east_plateau_safe_03,11,62566669929,scans/000011.npy,poses/000011.npy,transforms/000011.npz,global_dem,-664.7756874347492,1835.3278824105505,-0.05883787821264228,0.022646212357886848,-0.0578819211038325,-0.48675290488025924,0.8713256807106058,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
12,000012,east_plateau_safe,apollo15rille_east_plateau_safe_03,12,65666670091,scans/000012.npy,poses/000012.npy,transforms/000012.npz,global_dem,-664.2484275757905,1834.456976554045,0.0185547010411635,0.026042659232236805,-0.059198187353695614,-0.4866445006469759,0.8712028951422314,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
