checkpoint_signature,cluster_size,correspondence_count,evaluated_hypothesis_count,generated_hypotheses_per_s,generated_hypothesis_count,heading_error_deg,hypothesis_cap,local_feature_count,resolution,runtime_s,screened_hypothesis_count,site,status,xy_error_m
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,192.03649745041034,2102,,100000,4,0p5m,10.945835962993442,43,1,no_solution,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,452.0310680278155,17576,,100000,5,0p5m,38.88228319500922,375,2,no_solution,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,4,5,467,327.5465389784269,22344,2.3538385602182643,100000,6,0p5m,68.21626041199488,467,3,solution,2.9018065852855432
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,,,,100000,1,0p5m,,,4,skipped_insufficient_features,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,,,,100000,2,0p5m,,,5,skipped_insufficient_features,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,2,5,1968,630.2117026615581,100000,2.6706144947134476,100000,9,0p5m,158.67683760500222,1968,6,solution,2.222562819798745
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,,,,100000,1,0p5m,,,7,skipped_insufficient_features,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,,,,100000,1,0p5m,,,8,skipped_insufficient_features,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,,,,100000,1,0p5m,,,9,skipped_insufficient_features,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,,,,100000,1,0p5m,,,10,skipped_insufficient_features,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,,,,100000,1,0p5m,,,11,skipped_insufficient_features,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,,,,100000,1,0p5m,,,12,skipped_insufficient_features,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,,,,100000,2,0p5m,,,13,skipped_insufficient_features,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,771.9455559240307,15785,,100000,4,0p5m,20.448333277992788,166,14,no_solution,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,190.39752858392282,8690,,100000,7,0p5m,45.64134873299918,203,15,no_solution,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,,,,100000,2,0p5m,,,16,skipped_insufficient_features,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,49.517712505426275,335,,100000,4,0p5m,6.76525596700958,8,17,no_solution,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,2,4,51,146.569393230324,1758,1.4193998508196728,100000,4,0p5m,11.994318604003638,51,18,solution,1350.54255713244
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,45.91333713406167,95,,100000,3,0p5m,2.069115553997108,2,19,no_solution,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,3,5,581,377.0636555909149,26043,1.6671312998892063,100000,6,0p5m,69.06791363698721,581,20,solution,4.1972293321164855
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,,,,100000,2,0p5m,,,21,skipped_insufficient_features,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,96.81422711390272,276,,100000,3,0p5m,2.850820671999827,12,22,no_solution,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,123.79148106955826,781,,100000,4,0p5m,6.308996331994422,20,23,no_solution,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,,,,100000,1,0p5m,,,24,skipped_insufficient_features,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,,,,,,,100000,1,0p5m,,,25,skipped_insufficient_features,
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,4,5,562,194.35310087674125,20793,0.7725102667152726,100000,8,0p5m,106.9856869080104,562,26,solution,1.8274952997629508
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,3,5,197,227.04780012609496,7480,2.069454705452813,100000,5,0p5m,32.944604598000296,197,27,solution,32.45171854892181
75065aa60151b7580dd24cfa410793c28910be5e29e8da92260576dc5c9286f0,2,4,48,148.12713666223922,1480,3.6913590143932424,100000,4,0p5m,9.991417058001389,48,28,solution,321.991192469243
