cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,overlap,runtime_s,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
3,0,inf,inf,9,"[675, 662, 596, 606, 677, 665, 605, 661, 667]","[6, 5, 3, 1, 14, 10, 0, 12, 7]",11.084131672014378,1.108221306342631,-1.539493586007095,-447.5793231672797,-153.35564706000187,9.016412615776062,1622,-0.45228583509125925,raw_lidar_xy_decimated,3512,1.0,1.2672897087687431,-0.27220387723835904,18,1.0,163.60452155899839,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,473.11768351424644,9.512068092823029
2,0,inf,inf,7,"[675, 662, 705, 606, 667, 692, 634]","[4, 7, 11, 0, 3, 6, 9]",12.100757380676782,1.205194499207666,0.6043841757390954,-440.8750822160913,-156.08548797826955,8.674283981323242,2005,-0.4251079184556106,raw_lidar_xy_decimated,3285,1.0,2.5362589243043487,-1.9318747485652559,13,1.0,142.51165060099447,2,solution,12.267229080200195,-0.6570590734481812,-0.8115395307540894,479.0573564812112,9.485823512077332
5,0,inf,inf,9,"[458, 460, 459, 476, 451, 407, 384, 448, 499]","[6, 5, 4, 11, 3, 1, 0, 7, 14]",9.117476868941438,0.3883133613261762,-41.4787568824333,21.646478373086772,-11.651761779137736,0.02593141794204712,1823,-0.15622080080260875,raw_lidar_xy_decimated,6395,1.0,0.760559838547465,-40.71819704388585,15,1.0,153.9300751300034,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,2.6833690836578032,0.5632616281509399
2,0,inf,inf,5,"[605, 596, 606, 659, 704]","[1, 0, 2, 4, 5]",10.155170166891242,0.9952886942345779,-67.41744799391275,-444.19717236007557,-176.02356546325598,8.005398988723755,473,-0.5309028478632033,raw_lidar_xy_decimated,3816,1.0,2.626113056853569,-64.79133493705918,7,1.0,36.78580860400689,4,solution,36.56502151489258,-34.223609924316406,-2.5595836639404297,501.23798185125366,10.564982652664185
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,3797,1.0,,-147.34555813717074,7,,21.304036642002757,5,no_solution,,,,,
4,0,inf,inf,10,"[556, 623, 567, 618, 615, 543, 527, 582, 545, 529]","[5, 9, 2, 14, 19, 4, 0, 11, 7, 1]",11.499568000964462,1.0403475554844244,-149.97689162893326,-280.0227798676692,-99.01186180537476,6.557100057601929,1652,-0.6698860537007263,raw_lidar_xy_decimated,8078,1.0,0.7198753864763887,-149.25701624245687,20,1.0,158.40309129499656,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,281.9099798416553,7.011429846286774
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,5861,1.0,,-109.2759993649763,4,,2.292518582995399,7,no_solution,,,,,
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,5290,1.0,,-114.39735521942477,3,,0.022356442001182586,8,no_solution,,,,,
,,,,,,,,,,,,,,,,,,,-104.79089921902104,1,,,9,skipped_insufficient_features,,,,,
2,0,inf,inf,5,"[613, 678, 621, 548, 620]","[2, 4, 1, 0, 3]",11.113512529766032,0.9889028675587994,-113.69689619137802,-484.3143239685709,-676.4746262851273,7.770911693572998,30,-0.9231091408844764,raw_lidar_xy_decimated,6362,1.0,1.9714877543452474,-111.72540843703277,5,1.0,9.238470616997802,10,solution,-23.69623565673828,-150.10791015625,-0.596463680267334,699.4504579513443,8.367375373840332
2,0,inf,inf,5,"[437, 441, 404, 444, 474]","[1, 2, 0, 3, 5]",12.948355468736425,0.8614559298027809,-113.79668419062305,108.31108935798979,556.7996226210589,0.7652139663696289,34,-0.9046912597139253,raw_lidar_xy_decimated,5926,1.0,3.2582769445192525,-110.5384072461038,6,1.0,11.97899268400215,11,solution,-26.17138671875,-156.74221801757812,-0.03909933567047119,726.1043277062223,0.8043133020401001
4,0,inf,inf,6,"[500, 460, 515, 364, 407, 459]","[15, 13, 16, 0, 2, 11]",7.5369534755500736,0.3695487578496035,-96.83518702133699,-25.15482274102228,-178.12152192303583,1.4817463159561157,1201,-0.4693054979263476,raw_lidar_xy_decimated,5412,1.0,1.1239101841389356,-95.71127683719807,17,1.0,195.5977046600019,12,solution,-27.199756622314453,-174.37538146972656,1.2406376600265503,4.26794129233016,0.24110865592956543
3,0,inf,inf,4,"[448, 515, 500, 364]","[1, 7, 5, 0]",7.078091693207681,1.1086752697556352,-99.2867768831736,-32.72019035978058,-198.2394473790289,3.272601008415222,600,-0.18841713727893253,raw_lidar_xy_decimated,4026,1.0,0.5068073622561542,-99.79358424542976,8,1.0,65.12399785399612,13,solution,-30.75284194946289,-198.97962951660156,2.7760562896728516,2.101982246442913,0.4965447187423706
3,0,inf,inf,4,"[324, 66, 298, 140]","[8, 0, 10, 1]",5.2021597804021615,1.6992295548784213,-129.19067582705807,346.8940702729661,199.19503949824298,-4.738747596740723,422,-1.9445217600680937,raw_lidar_xy_decimated,4456,1.0,2.750285539061821,-131.9409613661199,21,1.0,99.80461157999525,14,solution,-50.64036178588867,-224.77685546875,3.8478145599365234,581.1934208112297,8.586562156677246
5,0,inf,inf,7,"[458, 384, 459, 476, 460, 451, 407]","[11, 0, 9, 16, 10, 6, 2]",9.171863691473321,0.17850961354111888,145.9629109568531,-15.778936757785274,13.575014494995791,0.5416867136955261,1874,-0.3422812153172488,raw_lidar_xy_decimated,4115,1.0,2.4859972513390005,148.4489082081921,18,1.0,190.32577269799367,15,solution,-16.422508239746094,6.153733253479004,0.1715155839920044,7.449134145528741,0.37017112970352173
2,0,inf,inf,4,"[421, 425, 419, 411]","[4, 5, 1, 6]",5.77673570524266,0.4835291848405533,-137.56989908554047,181.43077872230765,-216.46264955716308,-2.164326548576355,298,-0.35617536699393043,raw_lidar_xy_decimated,2558,1.0,0.8251095692249919,-138.39500865476546,7,1.0,29.785350949998247,16,solution,-178.57537841796875,-323.9828796386719,6.217787742614746,375.7193541137986,8.382114291191101
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,3723,1.0,,-143.02059009636423,8,,67.25554427099996,17,no_solution,,,,,
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,3489,1.0,,-139.12382904054863,13,,128.81921991199488,18,no_solution,,,,,
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,2749,1.0,,-163.07943097450712,6,,8.460323261999292,19,no_solution,,,,,
5,0,inf,inf,12,"[590, 570, 579, 597, 553, 602, 530, 569, 565, 566, 575, 593]","[9, 1, 7, 10, 0, 14, 3, 6, 4, 5, 2, 13]",13.749943871872606,0.6100584157868565,-133.38993875695192,-190.1366253972958,-338.992037020427,7.455589532852173,2292,-0.1541831970314363,raw_lidar_xy_decimated,4937,1.0,3.6300684352024177,-137.02000719215434,17,1.0,194.43717214600474,20,solution,-194.00518798828125,-337.96356201171875,6.880199909210205,4.0029410892379484,0.5753896236419678
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,4144,1.0,,-139.50755383711078,6,,11.256557988002896,21,no_solution,,,,,
3,0,inf,inf,7,"[619, 597, 553, 570, 530, 575, 569]","[7, 5, 0, 2, 1, 3, 4]",10.850956702895019,0.5068101499659419,-156.0620412060852,-231.57116997967188,-375.9020227714883,5.983522832393646,460,-0.4982004536213421,raw_lidar_xy_decimated,4668,1.0,1.4435191497688038,-154.6185220563164,8,1.0,40.49529568500293,22,solution,-236.06866455078125,-371.45111083984375,5.889065742492676,6.327564653199059,0.09445708990097046
2,0,inf,inf,5,"[636, 659, 652, 634, 629]","[5, 10, 8, 6, 0]",11.56893346674635,1.0815173549166284,-158.63574871808652,-435.8372686043515,-442.05893270815113,8.659721970558167,1600,-0.7527865547162885,raw_lidar_xy_decimated,3721,1.0,0.30652701584824626,-158.94227573393476,12,1.0,127.78241391100164,23,solution,-252.51278686523438,-377.9277648925781,6.394556045532227,194.21810494983487,2.26516592502594
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,7369,1.0,,-138.21486385709562,3,,0.02043037800467573,24,no_solution,,,,,
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,6538,1.0,,116.45158980740251,5,,6.210203991999151,25,no_solution,,,,,
