checkpoint_signature,cluster_size,correspondence_count,evaluated_hypothesis_count,generated_hypotheses_per_s,generated_hypothesis_count,heading_error_deg,hypothesis_cap,local_feature_count,resolution,runtime_s,screened_hypothesis_count,site,status,xy_error_m
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,3,9,1622,611.2300506556502,100000,1.2672897087687431,100000,18,2m,163.60452155899839,1622,1,solution,473.11768351424644
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,2,7,2005,701.6970161968089,100000,2.5362589243043487,100000,13,2m,142.51165060099447,2005,2,solution,479.0573564812112
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,5,9,1823,649.6456258826864,100000,0.760559838547465,100000,15,2m,153.9300751300034,1823,3,solution,2.6833690836578032
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,2,5,473,698.9380137534732,25711,2.626113056853569,100000,7,2m,36.78580860400689,473,4,solution,501.23798185125366
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,,,,585.663656595507,12477,,100000,7,2m,21.304036642002757,239,5,no_solution,
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,4,10,1652,631.3008110035456,100000,0.7198753864763887,100000,20,2m,158.40309129499656,1652,6,solution,281.9099798416553
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,,,,181.8960173728009,417,,100000,4,2m,2.292518582995399,1,7,no_solution,
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,,,,0.0,0,,100000,3,2m,0.022356442001182586,0,8,no_solution,
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,,,,,,,100000,1,2m,,,9,skipped_insufficient_features,
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,2,5,30,655.7362415434786,6058,1.9714877543452474,100000,5,2m,9.238470616997802,30,10,solution,699.4504579513443
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,2,5,34,436.5141659184155,5229,3.2582769445192525,100000,6,2m,11.97899268400215,34,11,solution,726.1043277062223
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,4,6,1201,511.25344325397475,100000,1.1239101841389356,100000,17,2m,195.5977046600019,1201,12,solution,4.26794129233016
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,3,4,600,508.50686523029464,33116,0.5068073622561542,100000,8,2m,65.12399785399612,600,13,solution,2.101982246442913
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,3,4,422,1001.95770933739,100000,2.750285539061821,100000,21,2m,99.80461157999525,422,14,solution,581.1934208112297
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,5,7,1874,525.4149166580746,100000,2.4859972513390005,100000,18,2m,190.32577269799367,1874,15,solution,7.449134145528741
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,2,4,298,383.3092320841253,11417,0.8251095692249919,100000,7,2m,29.785350949998247,298,16,solution,375.7193541137986
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,,,,649.0171252516578,43650,,100000,8,2m,67.25554427099996,37,17,no_solution,
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,,,,776.2816765100484,100000,,100000,13,2m,128.81921991199488,246,18,no_solution,
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,,,,140.18376878423575,1186,,100000,6,2m,8.460323261999292,31,19,no_solution,
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,5,12,2292,514.3049494924203,100000,3.6300684352024177,100000,17,2m,194.43717214600474,2292,20,solution,4.0029410892379484
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,,,,290.05314088727636,3265,,100000,6,2m,11.256557988002896,59,21,no_solution,
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,3,7,460,493.1930897691025,19972,1.4435191497688038,100000,8,2m,40.49529568500293,460,22,solution,6.327564653199059
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,2,5,1600,782.5803014618925,100000,0.30652701584824626,100000,12,2m,127.78241391100164,1600,23,solution,194.21810494983487
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,,,,0.0,0,,100000,3,2m,0.02043037800467573,0,24,no_solution,
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,,,,230.1051627033567,1429,,100000,5,2m,6.210203991999151,4,25,no_solution,
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,5,8,2393,485.9210606627367,100000,2.1898424195572943,100000,12,2m,205.79474341699097,2393,26,solution,1.5331250536657965
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,2,8,2279,655.4000804574002,100000,2.4266225125793426,100000,22,2m,152.5785592369939,2279,27,solution,678.8625678647404
0485d761ec1f5bf5095558b6aa06fd47359209c619cccdb991971d95d1b3b725,2,10,2227,698.2186000606456,100000,2.968895639876081,100000,19,2m,143.22162141099398,2227,28,solution,244.08277930041382
