estimate_source,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,fallback_reason,fitness,fitness_improvement_m,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,overlap,preservation_reason,ransac_rejected_outlier,runtime_s,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
darces,-1.539493586007095,-447.5793231672797,-153.35564706000187,9.016412615776062,,-0.45228583509125925,-0.15213524917771898,raw_lidar_xy_decimated,3512,1.0,1.2672897087687431,1.0,RANSAC terrain fitness improvement was below threshold,False,0.08035835000919178,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,473.11768351424644,9.512068092823029
darces,0.6043841757390954,-440.8750822160913,-156.08548797826955,8.674283981323242,,-0.4251079184556106,-0.12924417193598925,raw_lidar_xy_decimated,3285,1.0,2.5362589243043487,1.0,RANSAC terrain fitness improvement was below threshold,False,0.03094887601037044,2,solution,12.267229080200195,-0.6570590734481812,-0.8115395307540894,479.0573564812112,9.485823512077332
darces,-41.4787568824333,21.646478373086772,-11.651761779137736,0.02593141794204712,,-0.15622080080260875,-0.056895382392667754,raw_lidar_xy_decimated,6395,1.0,0.760559838547465,1.0,RANSAC terrain fitness improvement was below threshold,False,0.09090374599327333,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,2.6833690836578032,0.5632616281509399
darces,-67.41744799391275,-444.19717236007557,-176.02356546325598,8.005398988723755,,-0.5309028478632033,-0.02333990773240524,raw_lidar_xy_decimated,3816,1.0,2.626113056853569,1.0,RANSAC terrain fitness improvement was below threshold,True,0.007894041991676204,4,solution,36.56502151489258,-34.223609924316406,-2.5595836639404297,501.23798185125366,10.564982652664185
none,,,,,DARCES has no pose estimate,,,,,,,,,,,5,darces_unavailable,,,,,
darces,-149.97689162893326,-280.0227798676692,-99.01186180537476,6.557100057601929,,-0.6698860537007263,0.001171776215808551,raw_lidar_xy_decimated,8078,1.0,0.7198753864763887,1.0,RANSAC terrain fitness improvement was below threshold,False,0.14798049099044874,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,281.9099798416553,7.011429846286774
none,,,,,DARCES has no pose estimate,,,,,,,,,,,7,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,8,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,9,darces_unavailable,,,,,
darces,-113.69689619137802,-484.3143239685709,-676.4746262851273,7.770911693572998,,-0.9231091408844764,-0.16145125225965262,raw_lidar_xy_decimated,6362,1.0,1.9714877543452474,1.0,RANSAC terrain fitness improvement was below threshold,False,0.008543818999896757,10,solution,-23.69623565673828,-150.10791015625,-0.596463680267334,699.4504579513443,8.367375373840332
