cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,overlap,runtime_s,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
3,0,inf,inf,6,"[339, 289, 334, 310, 331, 350]","[7, 0, 6, 1, 4, 11]",10.30639724254416,0.38611609317693457,2.178680075276599,-6.53244020934175,-2.741623189545244,0.02179408073425293,2094,-0.22356912435696696,raw_lidar_xy_decimated,1403,2.5,2.450883952514971,-0.27220387723835904,13,1.0,159.13532462999865,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,7.07935057913483,0.5174495577812195
5,0,inf,inf,7,"[443, 507, 518, 495, 449, 515, 491]","[0, 8, 3, 5, 1, 4, 9]",11.105795697067602,0.864227787106334,-3.2171617598154767,-463.39783057974097,-127.58265779427748,9.35206413269043,902,-0.534770504347183,raw_lidar_xy_decimated,1272,2.5,1.285287011250233,-1.9318747485652559,11,1.0,76.84301281899934,2,solution,12.267229080200195,-0.6570590734481812,-0.8115395307540894,492.30819269227726,10.163603663444519
3,0,inf,inf,5,"[339, 334, 289, 350, 310]","[6, 3, 0, 10, 1]",8.7382645319217,0.3101245262436463,-41.891143203698725,23.62341780562359,-11.1796319410134,-0.02145916223526001,2006,-0.1957105421216089,raw_lidar_xy_decimated,2301,2.5,1.1729461598128808,-40.71819704388585,14,1.0,157.72332716100027,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,1.0211633411023775,0.5158710479736328
3,0,inf,inf,7,"[208, 117, 240, 190, 159, 175, 107]","[5, 0, 6, 4, 2, 3, 1]",10.808632711516577,1.2922360968456286,-66.90317808183917,558.0547840667725,382.14644603681035,-11.850525140762329,279,-0.6015196650888736,raw_lidar_xy_decimated,1204,2.5,2.111843144779982,-64.79133493705918,7,1.0,20.325759358998766,4,solution,36.56502151489258,-34.223609924316406,-2.5595836639404297,667.3197104443177,9.2909414768219
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,1238,2.5,,-147.34555813717074,7,,19.64651941000011,5,no_solution,,,,,
5,0,inf,inf,7,"[289, 310, 339, 331, 312, 334, 365]","[0, 1, 7, 5, 2, 9, 16]",10.06894139267476,0.47009150028866187,-149.8305282837463,-2.867990964822873,-55.85791015383166,0.12604427337646484,1637,-0.16827678924023262,raw_lidar_xy_decimated,2826,2.5,0.5735120412894332,-149.25701624245687,17,1.0,146.93066096800067,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,3.697958413746785,0.5803740620613098
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,1504,2.5,,-109.2759993649763,4,,2.2050058740005625,7,no_solution,,,,,
,,,,,,,,,,,,,,,,,,,-114.39735521942477,1,,,8,skipped_insufficient_features,,,,,
,,,,,,,,,,,,,,,,,,,-104.79089921902104,1,,,9,skipped_insufficient_features,,,,,
2,0,inf,inf,3,"[434, 467, 380]","[2, 3, 0]",5.978528714367807,1.2190003062632961,-112.94893728092327,-279.04374953027656,457.9005215437965,6.980513215065002,3,-1.633402962437119,raw_lidar_xy_decimated,1622,2.5,1.2235288438905059,-111.72540843703277,4,1.0,1.9192189660006989,10,solution,-23.69623565673828,-150.10791015625,-0.596463680267334,659.4517464225468,7.576976895332336
2,0,inf,inf,4,"[432, 383, 403, 385]","[5, 2, 3, 1]",13.367605960554426,0.7516118669461449,-111.76088436319351,-327.77544986119216,-203.19305308785647,7.127267360687256,16,-1.1745291056943608,raw_lidar_xy_decimated,1640,2.5,1.22247711708971,-110.5384072461038,6,1.0,4.503701484998601,11,solution,-26.17138671875,-156.74221801757812,-0.03909933567047119,305.1601071286292,7.166366696357727
5,0,inf,inf,8,"[331, 365, 279, 377, 375, 310, 339, 289]","[5, 9, 0, 10, 11, 2, 8, 1]",11.973413391666906,0.7943841270033486,-93.54868197390444,-24.402030732816094,-176.6335605631396,1.7954351902008057,1392,-0.17633832318884343,raw_lidar_xy_decimated,1756,2.5,2.1625948632936343,-95.71127683719807,12,1.0,101.86751688299955,12,solution,-27.199756622314453,-174.37538146972656,1.2406376600265503,3.5953640943160625,0.5547975301742554
2,0,inf,inf,4,"[331, 365, 377, 279]","[1, 4, 6, 0]",5.488564439334886,1.13309609470152,-96.39049531464698,-26.243262094805647,-203.35697009548045,3.3723573684692383,365,-0.28053218058152213,raw_lidar_xy_decimated,1496,2.5,3.403088930782758,-99.79358424542976,9,1.0,37.67196812399925,13,solution,-30.75284194946289,-198.97962951660156,2.7760562896728516,6.2846973681339815,0.5963010787963867
3,0,inf,inf,6,"[414, 554, 498, 384, 531, 445]","[3, 13, 11, 4, 7, 5]",11.275326018509846,1.1955012132161456,-128.31413149177382,-317.369712178225,181.66704134836866,10.128382682800293,361,-1.7927537698156137,raw_lidar_xy_decimated,1827,2.5,3.626829874346072,-131.9409613661199,15,1.0,113.81102634700073,14,solution,-50.64036178588867,-224.77685546875,3.8478145599365234,486.14934703298974,6.2805681228637695
4,0,inf,inf,5,"[334, 289, 350, 339, 310]","[5, 0, 9, 8, 2]",7.092878133568666,0.12645872235221634,151.56172087489716,-18.33653182015741,7.874190967704255,0.46675026416778564,479,-0.3485911141239491,raw_lidar_xy_decimated,1607,2.5,3.1128126667050537,148.4489082081921,10,1.0,47.52836835499875,15,solution,-16.422508239746094,6.153733253479004,0.1715155839920044,2.573608558582236,0.29523468017578125
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,719,2.5,,-138.39500865476546,8,,18.10115978400063,16,no_solution,,,,,
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,1370,2.5,,-143.02059009636423,7,,20.896098916000483,17,no_solution,,,,,
5,0,inf,inf,6,"[416, 419, 431, 392, 395, 418]","[6, 7, 9, 4, 3, 8]",10.549518540065796,0.17673962131304832,-138.81407483429035,-127.40661375857346,-290.6432326458093,5.814154148101807,574,-0.16785138757373338,raw_lidar_xy_decimated,1327,2.5,0.3097542062582761,-139.12382904054863,11,1.0,85.95102426599988,18,solution,-131.5979461669922,-290.22393798828125,5.277122974395752,4.212253003760899,0.5370311737060547
2,0,inf,inf,7,"[416, 392, 375, 383, 377, 379, 403]","[10, 9, 8, 4, 3, 5, 6]",13.169780021478555,0.5483724313205303,-167.93621919290902,-132.09437182486346,-224.16463591322457,3.7319591641426086,811,-0.4258155668856144,raw_lidar_xy_decimated,791,2.5,4.856788218401903,-163.07943097450712,11,1.0,70.26498256400009,19,solution,-162.78665161132812,-310.0521240234375,5.476531028747559,91.20677964040061,1.74457186460495
