estimate_source,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,fallback_reason,fitness,fitness_improvement_m,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,overlap,preservation_reason,ransac_rejected_outlier,runtime_s,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
darces,0.9953863643255071,3.8670391578251753,-6.240443697297465,-0.009536266326904297,,-0.23013521198722717,-0.10689757259758312,raw_lidar_xy_decimated,1403,2.5,1.2675902415638802,1.0,RANSAC terrain fitness improvement was below threshold,False,0.012573443003930151,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,7.343177557076631,0.48611921072006226
darces,-3.2171617598154767,-463.39783057974097,-127.58265779427748,9.346802711486816,,-0.5346901142407608,-0.11561226271390468,raw_lidar_xy_decimated,1272,2.5,1.285287011250233,1.0,RANSAC terrain fitness improvement was below threshold,False,0.021602861990686506,2,solution,12.267229080200195,-0.6570590734481812,-0.8115395307540894,492.30819269227726,10.158342242240906
darces,-41.891143203698725,23.62341780562359,-11.1796319410134,-0.02508866786956787,,-0.1947907598374681,-0.09461179067045225,raw_lidar_xy_decimated,2301,2.5,1.1729461598128808,1.0,RANSAC terrain fitness improvement was below threshold,False,0.006511397994472645,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,1.0211633411023775,0.512241542339325
darces,-66.90317808183917,558.0547840667725,382.14644603681035,-11.851110696792603,,-0.6015737381187519,-0.9279938093766543,raw_lidar_xy_decimated,1204,2.5,2.111843144779982,1.0,RANSAC terrain fitness improvement was below threshold,False,0.02283574899774976,4,solution,36.56502151489258,-34.223609924316406,-2.5595836639404297,667.3197104443177,9.291527032852173
none,,,,,DARCES has no pose estimate,,,,,,,,,,,5,darces_unavailable,,,,,
darces,-150.24956517205712,-3.5883992486284164,-55.900620033325,0.08674812316894531,,-0.21128220778247384,-0.018240868611089145,raw_lidar_xy_decimated,2826,2.5,0.9925489296002468,1.0,RANSAC terrain fitness improvement was below threshold,False,0.02754931700474117,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,4.082892456969871,0.5410779118537903
none,,,,,DARCES has no pose estimate,,,,,,,,,,,7,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,8,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,9,darces_unavailable,,,,,
darces,-112.94893728092327,-279.04374953027656,457.9005215437965,6.978790879249573,,-1.6325242593786813,0.0,raw_lidar_xy_decimated,1622,2.5,1.2235288438905059,1.0,exactly three correspondences cannot be outlier-tested,False,0.0009717130014905706,10,minimal_unverified,-23.69623565673828,-150.10791015625,-0.596463680267334,659.4517464225468,7.575254559516907
darces,-111.76088436319351,-327.77544986119216,-203.19305308785647,7.1239542961120605,,-1.1739842550109079,-0.6444419642712651,raw_lidar_xy_decimated,1640,2.5,1.22247711708971,1.0,RANSAC terrain fitness improvement was below threshold,False,0.002559629996540025,11,solution,-26.17138671875,-156.74221801757812,-0.03909933567047119,305.1601071286292,7.163053631782532
darces,-93.54868197390444,-24.402030732816094,-176.6335605631396,1.7934696674346924,,-0.1765529460224476,-0.2660331830452458,raw_lidar_xy_decimated,1756,2.5,2.1625948632936343,1.0,RANSAC terrain fitness improvement was below threshold,False,0.04171549099555705,12,solution,-27.199756622314453,-174.37538146972656,1.2406376600265503,3.5953640943160625,0.5528320074081421
darces,-98.57261603575826,-29.27574735848152,-200.42570380381068,3.370391845703125,,-0.14462925945728675,-0.07199873929996486,raw_lidar_xy_decimated,1496,2.5,1.220968209671497,1.0,RANSAC terrain fitness improvement was below threshold,False,0.002625916007673368,13,solution,-30.75284194946289,-198.97962951660156,2.7760562896728516,2.0671089170224604,0.5943355560302734
none,,,,,DARCES has no pose estimate,,,,,,,,,,,14,darces_unavailable,,,,,
darces,151.56172087489716,-18.33653182015741,7.874190967704255,0.46395695209503174,,-0.3505782700613533,-0.04536566737961262,raw_lidar_xy_decimated,1607,2.5,3.1128126667050537,1.0,RANSAC terrain fitness improvement was below threshold,False,0.006899044004967436,15,solution,-16.422508239746094,6.153733253479004,0.1715155839920044,2.573608558582236,0.29244136810302734
ransac,-140.16040817574256,-160.24377037361825,-234.34290794901705,4.740803569555283,,-0.4140111068183331,0.012321582112268803,raw_lidar_xy_decimated,719,2.5,1.7653995209770983,1.0,,False,0.0027946700138272718,16,solution,-178.57537841796875,-323.9828796386719,6.217787742614746,91.49520412575632,1.4769841730594635
none,,,,,DARCES has no pose estimate,,,,,,,,,,,17,darces_unavailable,,,,,
darces,-138.81407483429035,-127.40661375857346,-290.6432326458093,5.812722682952881,,-0.16717250069680636,-0.029371915439597912,raw_lidar_xy_decimated,1327,2.5,0.3097542062582761,1.0,RANSAC terrain fitness improvement was below threshold,False,0.011946437996812165,18,solution,-131.5979461669922,-290.22393798828125,5.277122974395752,4.212253003760899,0.5355997085571289
darces,-167.93621919290902,-132.09437182486346,-224.16463591322457,3.7259920239448547,,-0.4261480998274424,-0.03252881081195608,raw_lidar_xy_decimated,791,2.5,4.856788218401903,1.0,RANSAC terrain fitness improvement was below threshold,False,0.023410944995703176,19,solution,-162.78665161132812,-310.0521240234375,5.476531028747559,91.20677964040061,1.7505390048027039
darces,-135.93996126772848,-225.31643065803024,-312.07395463846944,7.221171855926514,,-0.5203152625603259,-0.05780856019531122,raw_lidar_xy_decimated,1477,2.5,1.0800459244258604,1.0,RANSAC terrain fitness improvement was below threshold,False,0.013217362007708289,20,solution,-194.00518798828125,-337.96356201171875,6.880199909210205,40.628385243139,0.3409719467163086
darces,-139.32506043473845,-209.3186372651199,-351.143968610201,6.027914881706238,,-0.09612123531526272,-0.09056282364956107,raw_lidar_xy_decimated,1023,2.5,0.18249340237233014,1.0,RANSAC terrain fitness improvement was below threshold,False,0.00577962001261767,21,solution,-211.0142364501953,-352.2628173828125,5.4391608238220215,2.0314721687492296,0.5887540578842163
darces,-154.08416499755432,-233.65727000035378,-369.80913205845195,6.478208780288696,,-0.08762576644973911,-0.091704481442458,raw_lidar_xy_decimated,1251,2.5,0.5343570587620832,1.0,RANSAC terrain fitness improvement was below threshold,False,0.0214520980080124,22,solution,-236.06866455078125,-371.45111083984375,5.889065742492676,2.917347767471718,0.5891430377960205
darces,-158.62206423170008,-426.63960404245836,-456.77573848656033,8.647581338882446,,-0.8899202905241779,-0.06709203681608056,raw_lidar_xy_decimated,1292,2.5,0.32021150223468453,1.0,RANSAC terrain fitness improvement was below threshold,False,0.002665510997758247,23,solution,-252.51278686523438,-377.9277648925781,6.394556045532227,191.14693667476783,2.2530252933502197
none,,,,,DARCES has no pose estimate,,,,,,,,,,,24,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,25,darces_unavailable,,,,,
ransac,95.35250521049754,-203.8710747626328,-168.2849416511404,3.8824531510472298,,-0.5010291423712577,0.011884761859393356,raw_lidar_xy_decimated,1174,2.5,0.7098810061654319,1.0,,False,0.026239308004733175,26,solution,-312.87744140625,-352.31488037109375,5.095863342285156,213.8911085438394,1.2134101912379265
darces,164.40564190604732,-356.79124933531773,-338.9383296485736,6.634029030799866,,-0.10147561371764234,-0.24323661640133026,raw_lidar_xy_decimated,1244,2.5,0.8300020575370581,1.0,RANSAC terrain fitness improvement was below threshold,False,0.042379135004011914,27,solution,-355.8419494628906,-339.0829162597656,6.069794654846191,0.9602476430203384,0.5642343759536743
darces,-143.02678509973032,-491.305926700159,-382.73065650619213,9.177227020263672,,-0.4861249271909467,-0.04118546156302294,raw_lidar_xy_decimated,1524,2.5,3.1714778322566417,1.0,RANSAC terrain fitness improvement was below threshold,False,0.11044878599932417,28,solution,-390.8143615722656,-362.02740478515625,6.942140579223633,102.60204332116494,2.235086441040039
