resolution,stage,available,total_sites,availability_percent,median_xy_error_m,mean_xy_error_m,rmse_xy_m,maximum_xy_error_m,within_50m,within_50m_percent_of_available
0p25m,DARCES,0,28,0.0,,,,,0,
0p25m,RANSAC,0,28,0.0,,,,,0,
0p25m,MOGA,0,28,0.0,,,,,0,
0p5m,DARCES,7,28,25.0,4.1972293321164855,245.16208031250977,524.9123678468975,1350.54255713244,5,71.42857142857143
0p5m,RANSAC,7,28,25.0,4.1972293321164855,244.45138119265548,523.083999715103,1345.5676632934599,5,71.42857142857143
0p5m,MOGA,7,28,25.0,7.042094938340936,245.14065562692699,523.2358338407845,1345.859848855001,5,71.42857142857143
1m,DARCES,16,28,57.142857142857146,228.415964855344,345.9453250311599,545.7802764106476,1432.6203524880948,7,43.75
1m,RANSAC,16,28,57.142857142857146,228.415964855344,346.0465538925305,545.8290562463065,1432.6203524880948,7,43.75
1m,MOGA,16,28,57.142857142857146,225.31761288250618,346.21242339990033,545.48673939401,1434.6082308545438,7,43.75
2m,DARCES,18,28,64.28571428571429,262.99637957103454,292.4066706638896,397.0553771218088,726.1043277062223,7,38.888888888888886
2m,RANSAC,18,28,64.28571428571429,262.99637957103454,291.9867620456659,396.9103814949142,726.1043277062223,7,38.888888888888886
2m,MOGA,18,28,64.28571428571429,262.9971652574376,293.0167011305715,397.40084170596197,718.312309535489,7,38.888888888888886
5m,DARCES,21,28,75.0,199.98877632248613,386.86824365450707,594.4977471923954,1400.4025537983975,9,42.857142857142854
5m,RANSAC,21,28,75.0,199.98877632248613,387.0447059269351,594.9969523420161,1404.2259769842158,9,42.857142857142854
5m,MOGA,21,28,75.0,199.7097176252308,387.06489516139544,593.9882703546671,1404.9474946941655,9,42.857142857142854
10m,DARCES,17,28,60.714285714285715,498.3051487655274,469.4058425701915,621.8964125778533,1155.7087102473145,6,35.294117647058826
10m,RANSAC,17,28,60.714285714285715,498.3051487655274,469.04452077870036,621.8623374950702,1155.7087102473145,6,35.294117647058826
10m,MOGA,16,28,57.142857142857146,447.25352190574074,453.86951530323097,615.0717887599391,1152.7303182048393,6,37.5
