checkpoint_signature,cluster_size,correspondence_count,evaluated_hypothesis_count,generated_hypotheses_per_s,generated_hypothesis_count,heading_error_deg,hypothesis_cap,local_feature_count,resolution,runtime_s,screened_hypothesis_count,site,status,xy_error_m
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,201.18898653859418,2102,,100000,4,0p5m,10.447888009002781,43,1,no_solution,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,480.43290036498036,17576,,100000,5,0p5m,36.58367273899785,375,2,no_solution,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,4,5,467,333.1392010014273,22344,2.3538385602182643,100000,6,0p5m,67.07106198499969,467,3,solution,2.9018065852855432
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,,,,100000,1,0p5m,,,4,skipped_insufficient_features,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,,,,100000,2,0p5m,,,5,skipped_insufficient_features,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,2,5,1968,666.4878820875987,100000,2.6706144947134476,100000,9,0p5m,150.04023732100904,1968,6,solution,2.222562819798745
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,,,,100000,1,0p5m,,,7,skipped_insufficient_features,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,,,,100000,1,0p5m,,,8,skipped_insufficient_features,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,,,,100000,1,0p5m,,,9,skipped_insufficient_features,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,,,,100000,1,0p5m,,,10,skipped_insufficient_features,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,,,,100000,1,0p5m,,,11,skipped_insufficient_features,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,,,,100000,1,0p5m,,,12,skipped_insufficient_features,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,,,,100000,2,0p5m,,,13,skipped_insufficient_features,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,797.3561913920563,15785,,100000,4,0p5m,19.79667326899653,166,14,no_solution,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,193.2293214329003,8690,,100000,7,0p5m,44.972470717999386,203,15,no_solution,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,,,,100000,2,0p5m,,,16,skipped_insufficient_features,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,51.88363636290087,335,,100000,4,0p5m,6.4567563780001365,8,17,no_solution,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,2,4,51,155.1893982151171,1758,1.4193998508196728,100000,4,0p5m,11.32809341500979,51,18,solution,1350.54255713244
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,52.765314288277295,95,,100000,3,0p5m,1.8004251709935488,2,19,no_solution,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,3,5,581,400.02954658197314,26043,1.6671312998892063,100000,6,0p5m,65.10269109500223,581,20,solution,4.1972293321164855
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,,,,100000,2,0p5m,,,21,skipped_insufficient_features,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,98.16702125327554,276,,100000,3,0p5m,2.8115348360006465,12,22,no_solution,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,124.115885736242,781,,100000,4,0p5m,6.292506357000093,20,23,no_solution,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,,,,100000,1,0p5m,,,24,skipped_insufficient_features,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,,,,,,,100000,1,0p5m,,,25,skipped_insufficient_features,
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,4,5,562,206.57188622009016,20793,0.7725102667152726,100000,8,0p5m,100.6574533469975,562,26,solution,1.8274952997629508
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,3,5,197,231.77779420227134,7480,2.069454705452813,100000,5,0p5m,32.27228918000765,197,27,solution,32.45171854892181
af220e336c7e19cae53089185acfe3acf036408187de7c491e22ef437cee2565,2,4,48,156.6171087667232,1480,3.6913590143932424,100000,4,0p5m,9.449797737004701,48,28,solution,321.991192469243
