estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,heading_error_deg,initial_heading_deg,initial_source,initial_x_m,initial_y_m,moga_final_cost,moga_initial_cost,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
,,,,,,none,,,,,1,feature_pose_unavailable,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,,
,,,,,,none,,,,,2,feature_pose_unavailable,12.267229080200195,-0.6570590734481812,-0.8115395307540894,,
-40.77682151796156,20.26278109527558,-11.785334505744865,-0.03548252582550049,0.05862447407569583,-43.07203560410413,darces,21.078462617775386,-9.524559348098325,0.3867128472275057,5.056490970670582,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,3.97007456923226,0.5018476843833923
,,,,,,none,,,,,4,feature_pose_unavailable,36.56502151489258,-34.223609924316406,-2.5595836639404297,,
,,,,,,none,,,,,5,feature_pose_unavailable,19.5212345123291,-46.497894287109375,-2.1845808029174805,,
-149.29675792331116,-2.336885871317508,-60.45891561509524,0.02948176860809326,0.039741680854283756,-151.92763073717032,darces,-2.5490631902504255,-57.470541068743245,0.9959957311998934,9.485181566940565,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,1.9843359481105494,0.48381155729293823
,,,,,,none,,,,,7,feature_pose_unavailable,-8.252805709838867,-83.77835845947266,-1.3806068897247314,,
,,,,,,none,,,,,8,feature_pose_unavailable,-11.781176567077637,-93.33480834960938,-2.9016098976135254,,
,,,,,,none,,,,,9,feature_pose_unavailable,-18.610734939575195,-138.35015869140625,-2.200972080230713,,
,,,,,,none,,,,,10,feature_pose_unavailable,-23.69623565673828,-150.10791015625,-0.596463680267334,,
,,,,,,none,,,,,11,feature_pose_unavailable,-26.17138671875,-156.74221801757812,-0.03909933567047119,,
,,,,,,none,,,,,12,feature_pose_unavailable,-27.199756622314453,-174.37538146972656,1.2406376600265503,,
,,,,,,none,,,,,13,feature_pose_unavailable,-30.75284194946289,-198.97962951660156,2.7760562896728516,,
,,,,,,none,,,,,14,feature_pose_unavailable,-50.64036178588867,-224.77685546875,3.8478145599365234,,
,,,,,,none,,,,,15,feature_pose_unavailable,-16.422508239746094,6.153733253479004,0.1715155839920044,,
,,,,,,none,,,,,16,feature_pose_unavailable,-178.57537841796875,-323.9828796386719,6.217787742614746,,
,,,,,,none,,,,,17,feature_pose_unavailable,-102.15924835205078,-266.02862548828125,3.638662815093994,,
-139.1358153942036,887.9232209204648,588.363189947324,-15.452794432640076,0.011986353654973837,-140.2656809833943,ransac,887.8113911954161,588.0453483922443,1.3367157997756414,7.6692945646995225,18,solution,-131.5979461669922,-290.22393798828125,5.277122974395752,1345.8598558221083,20.729917407035828
,,,,,,none,,,,,19,feature_pose_unavailable,-162.78665161132812,-310.0521240234375,5.476531028747559,,
-137.12097581394912,-187.30499505639798,-335.7956949046959,7.445396423339844,0.10096862179478082,-138.68713849204354,darces,-190.51039558494875,-335.63909215302226,0.722410091344238,5.503198034772204,20,solution,-194.00518798828125,-337.96356201171875,6.880199909210205,7.04217531151917,0.5651965141296387
,,,,,,none,,,,,21,feature_pose_unavailable,-211.0142364501953,-352.2628173828125,5.4391608238220215,,
,,,,,,none,,,,,22,feature_pose_unavailable,-236.06866455078125,-371.45111083984375,5.889065742492676,,
,,,,,,none,,,,,23,feature_pose_unavailable,-252.51278686523438,-377.9277648925781,6.394556045532227,,
,,,,,,none,,,,,24,feature_pose_unavailable,-279.89703369140625,-394.0205078125,5.653914928436279,,
,,,,,,none,,,,,25,feature_pose_unavailable,-301.57952880859375,-399.9701232910156,3.864340305328369,,
94.63182784395717,-312.84509833167584,-356.21063895902216,5.636096902191639,0.010796360374953504,95.41513447104738,darces,-312.08200042034485,-353.96018055908314,0.3945168626165324,2.934491626762566,26,solution,-312.87744140625,-352.31488037109375,5.095863342285156,3.8958928437382476,0.5402335599064827
165.2187119803165,-360.81203615961675,-308.8527695749525,6.741978406906128,0.016931983267895467,163.16618925813157,darces,-362.2363636489216,-307.26742468732687,0.6108264838531003,5.584064921567387,27,solution,-355.8419494628906,-339.0829162597656,6.069794654846191,30.63598424007774,0.6721837520599365
-146.1384304527647,-141.15875718636545,-157.7225835114764,2.781571924686432,0.05983247922225874,-142.50690391759372,darces,-140.07878935703695,-160.0125517330429,0.5385655582676416,9.559127768950106,28,solution,-390.8143615722656,-362.02740478515625,6.942140579223633,322.5963124354638,4.160568654537201
