checkpoint_signature,cluster_size,correspondence_count,evaluated_hypothesis_count,generated_hypotheses_per_s,generated_hypothesis_count,heading_error_deg,hypothesis_cap,local_feature_count,resolution,runtime_s,screened_hypothesis_count,site,status,xy_error_m
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,4,6,774,578.7877802656935,32972,2.4332833654647175,100000,16,10m,56.967339540002286,774,1,solution,764.8580367764168
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,3,3,384,711.0181156553506,22642,1.152937581932349,100000,12,10m,31.8444769570051,384,2,solution,965.8686544935076
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,4,4,554,604.1949879704734,28975,1.0083045359013454,100000,14,10m,47.956372656000894,554,3,solution,0.46791885673236233
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,3,4,98,651.4517027213766,6782,1.356386114137166,100000,9,10m,10.410595246998128,98,4,solution,774.5559689328395
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,2,4,203,695.5243401107371,12583,0.32754622218169516,100000,10,10m,18.0913869930082,203,5,solution,943.3946537052982
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,5,5,1513,684.9915162958404,100000,0.8607027731156336,100000,23,10m,145.98720950700226,1513,6,solution,6.79404901270134
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,,,,714.3894085846306,213,,100000,3,10m,0.29815671598771587,0,7,no_solution,
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,,,,0.0,0,,100000,3,10m,0.007477224004105665,0,8,no_solution,
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,,,,,,,100000,1,10m,,,9,skipped_insufficient_features,
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,,,,805.4653691012004,5464,,100000,7,10m,6.783656019993941,56,10,no_solution,
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,2,2,271,587.5250925059964,17467,0.24527763036911665,100000,13,10m,29.72979405100341,271,11,solution,714.2194852504775
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,2,3,951,708.6517415848432,52336,3.522689895613098,100000,16,10m,73.85291946500365,951,12,solution,396.5489769386105
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,,,,781.3971705090767,12305,,100000,10,10m,15.747433526004897,194,13,no_solution,
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,3,5,403,990.9894859725036,100000,4.208205501906292,100000,31,10m,100.9092441600078,403,14,solution,498.3051487655274
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,2,4,301,601.5064761844199,14818,1.5327243641988275,100000,12,10m,24.634813733006013,301,15,solution,4.619497941792154
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,,,,645.8391791232574,1299,,100000,6,10m,2.011336633004248,22,16,no_solution,
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,,,,622.2662821094299,9639,,100000,10,10m,15.490153134000138,7,17,no_solution,
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,4,5,824,711.5517566669288,97955,3.899825169453578,100000,19,10m,137.66391422999732,824,18,solution,1155.7087102473145
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,,,,672.3635683976265,348,,100000,4,10m,0.5175771210051607,1,19,no_solution,
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,2,5,1320,690.1171529665819,84812,1.4273796597108515,100000,18,10m,122.89507605400286,1320,20,solution,12.232944758814112
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,4,4,101,433.72073860085527,5625,3.6472662806166625,100000,11,10m,12.969174630998168,101,21,solution,609.4393698595571
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,3,5,153,489.7106418150781,7833,4.772980087383502,100000,11,10m,15.995159858008265,153,22,solution,7.015112439433645
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,2,5,1368,852.4938998007915,91747,2.180710315925836,100000,16,10m,107.62188447499648,1368,23,solution,9.959702239877263
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,,,,92.70080447129472,20,,100000,5,10m,0.21574785800476093,0,24,no_solution,
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,,,,410.4245911922451,5219,,100000,11,10m,12.716099648998352,18,25,no_solution,
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,2,6,447,510.5383516953618,18145,2.1785281604522595,100000,15,10m,35.54091468299157,447,26,solution,958.7390988784929
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,,,,580.5407295516462,31010,,100000,15,10m,53.41571817699878,620,27,no_solution,
811a2ac6aee9c395505496dd063da7b3008c8a2d531646d70f7052ccd8c1e847,3,6,962,864.4329480398345,52044,0.7124537185796669,100000,14,10m,60.20594207799877,962,28,solution,157.17199459586178
