cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,overlap,runtime_s,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
4,0,inf,inf,6,"[593, 594, 595, 497, 585, 611]","[7, 6, 4, 0, 5, 11]",8.626546287243698,0.4749841637641551,0.928127314781967,-2.9155591443369566,2.8831386547785343,0.08491510152816772,1929,-0.15063805482251147,raw_lidar_xy_decimated,6940,0.5,1.2003311920203146,-0.27220387723835904,13,1.0,191.06478474999312,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,4.097560646017986,0.5805705785751343
3,0,inf,inf,8,"[914, 1019, 1045, 1034, 1054, 931, 1021, 985]","[0, 2, 9, 6, 11, 1, 3, 5]",9.364980165379173,0.5571425166968973,2.850042654660341,-758.8949655976437,-343.82489942984995,13.665531635284424,1994,-0.36168535831213877,raw_lidar_xy_decimated,6329,0.5,4.781917403225606,-1.9318747485652559,12,1.0,150.50284776400076,2,solution,12.267229080200195,-0.6570590734481812,-0.8115395307540894,844.0706707114197,14.477071166038513
4,0,inf,inf,7,"[593, 594, 595, 585, 611, 526, 497]","[5, 4, 3, 2, 10, 1, 0]",6.1602385055274285,0.3190277341377025,-42.03836177419846,20.070381418614737,-10.6801872302199,0.007704436779022217,1829,-0.16992359134767862,raw_lidar_xy_decimated,13086,0.5,1.320164730312598,-40.71819704388585,13,1.0,169.83392361400183,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,3.8612516974320896,0.545034646987915
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,8336,0.5,,-64.79133493705918,4,,2.80210570798954,4,no_solution,,,,,
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,8257,0.5,,-147.34555813717074,3,,0.04102931899251416,5,no_solution,,,,,
2,0,inf,inf,7,"[593, 594, 595, 497, 526, 611, 585]","[6, 8, 7, 0, 1, 13, 9]",8.130168450977152,0.4056513607130269,-150.6797854152964,-1.1364103930787195,-56.72613982060858,0.11265134811401367,1924,-0.11892393614201408,raw_lidar_xy_decimated,14748,0.5,1.422769172839537,-149.25701624245687,14,1.0,159.75951223200536,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,2.307716953879177,0.5669811367988586
,,,,,,,,,,,,,,,,,,,-109.2759993649763,2,,,7,skipped_insufficient_features,,,,,
,,,,,,,,,,,,,,,,,,,-114.39735521942477,1,,,8,skipped_insufficient_features,,,,,
,,,,,,,,,,,,,,,,,,,-104.79089921902104,1,,,9,skipped_insufficient_features,,,,,
,,,,,,,,,,,,,,,,,,,-111.72540843703277,1,,,10,skipped_insufficient_features,,,,,
