estimate_source,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,fallback_reason,fitness,fitness_improvement_m,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,overlap,preservation_reason,ransac_rejected_outlier,runtime_s,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
darces,2.178680075276599,-6.53244020934175,-2.741623189545244,0.02179408073425293,,-0.22356912435696696,-0.2024292819297167,raw_lidar_xy_decimated,1403,2.5,2.450883952514971,1.0,RANSAC terrain fitness improvement was below threshold,False,0.012353704005363397,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,7.07935057913483,0.5174495577812195
darces,-3.2171617598154767,-463.39783057974097,-127.58265779427748,9.35206413269043,,-0.534770504347183,-0.11343757839347979,raw_lidar_xy_decimated,1272,2.5,1.285287011250233,1.0,RANSAC terrain fitness improvement was below threshold,False,0.0213093780039344,2,solution,12.267229080200195,-0.6570590734481812,-0.8115395307540894,492.30819269227726,10.163603663444519
darces,-41.891143203698725,23.62341780562359,-11.1796319410134,-0.02145916223526001,,-0.1957105421216089,-0.08143117497701932,raw_lidar_xy_decimated,2301,2.5,1.1729461598128808,1.0,RANSAC terrain fitness improvement was below threshold,False,0.00615185999777168,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,1.0211633411023775,0.5158710479736328
darces,-66.90317808183917,558.0547840667725,382.14644603681035,-11.850525140762329,,-0.6015196650888736,-0.9182124850134518,raw_lidar_xy_decimated,1204,2.5,2.111843144779982,1.0,RANSAC terrain fitness improvement was below threshold,False,0.021794660002342425,4,solution,36.56502151489258,-34.223609924316406,-2.5595836639404297,667.3197104443177,9.2909414768219
none,,,,,DARCES has no pose estimate,,,,,,,,,,,5,darces_unavailable,,,,,
darces,-149.8305282837463,-2.867990964822873,-55.85791015383166,0.12604427337646484,,-0.16827678924023262,-0.06054582107787426,raw_lidar_xy_decimated,2826,2.5,0.5735120412894332,1.0,RANSAC terrain fitness improvement was below threshold,False,0.025191802997142076,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,3.697958413746785,0.5803740620613098
none,,,,,DARCES has no pose estimate,,,,,,,,,,,7,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,8,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,9,darces_unavailable,,,,,
darces,-112.94893728092327,-279.04374953027656,457.9005215437965,6.980513215065002,,-1.633402962437119,0.0,raw_lidar_xy_decimated,1622,2.5,1.2235288438905059,1.0,exactly three correspondences cannot be outlier-tested,False,0.0009913200046867132,10,minimal_unverified,-23.69623565673828,-150.10791015625,-0.596463680267334,659.4517464225468,7.576976895332336
darces,-111.76088436319351,-327.77544986119216,-203.19305308785647,7.127267360687256,,-1.1745291056943608,-0.6423088384481412,raw_lidar_xy_decimated,1640,2.5,1.22247711708971,1.0,RANSAC terrain fitness improvement was below threshold,False,0.0025595399929443374,11,solution,-26.17138671875,-156.74221801757812,-0.03909933567047119,305.1601071286292,7.166366696357727
darces,-95.66431025947723,-23.571626042861006,-173.86341868718682,1.7954351902008057,,-0.17081038129645498,-0.207073228408722,raw_lidar_xy_decimated,1756,2.5,0.04696657772083768,1.0,RANSAC terrain fitness improvement was below threshold,False,0.02253639900300186,12,solution,-27.199756622314453,-174.37538146972656,1.2406376600265503,3.6640738792048175,0.5547975301742554
darces,-98.57261603575826,-29.27574735848152,-200.42570380381068,3.3723573684692383,,-0.14485775953781913,-0.07148362361448626,raw_lidar_xy_decimated,1496,2.5,1.220968209671497,1.0,RANSAC terrain fitness improvement was below threshold,False,0.0025788860075408593,13,solution,-30.75284194946289,-198.97962951660156,2.7760562896728516,2.0671089170224604,0.5963010787963867
darces,-128.31413149177382,-317.369712178225,181.66704134836866,10.128382682800293,,-1.7927537698156137,-0.025986875795140474,raw_lidar_xy_decimated,1827,2.5,3.626829874346072,1.0,RANSAC terrain fitness improvement was below threshold,False,0.013072686007944867,14,solution,-50.64036178588867,-224.77685546875,3.8478145599365234,486.14934703298974,6.2805681228637695
darces,151.56172087489716,-18.33653182015741,7.874190967704255,0.46675026416778564,,-0.3485911141239491,-0.02463952933268837,raw_lidar_xy_decimated,1607,2.5,3.1128126667050537,1.0,RANSAC terrain fitness improvement was below threshold,False,0.005902910997974686,15,solution,-16.422508239746094,6.153733253479004,0.1715155839920044,2.573608558582236,0.29523468017578125
ransac,-140.16040817574256,-160.24377037361825,-234.34290794901705,4.743400901556015,,-0.4139147301724121,0.012599641099228898,raw_lidar_xy_decimated,719,2.5,1.7653995209770983,1.0,,False,0.0023834519961383194,16,solution,-178.57537841796875,-323.9828796386719,6.217787742614746,91.49520412575632,1.474386841058731
none,,,,,DARCES has no pose estimate,,,,,,,,,,,17,darces_unavailable,,,,,
darces,-138.81407483429035,-127.40661375857346,-290.6432326458093,5.814154148101807,,-0.16785138757373338,-0.027593725839407446,raw_lidar_xy_decimated,1327,2.5,0.3097542062582761,1.0,RANSAC terrain fitness improvement was below threshold,False,0.01209963799919933,18,solution,-131.5979461669922,-290.22393798828125,5.277122974395752,4.212253003760899,0.5370311737060547
darces,-166.8604388369671,-160.90257291059405,-315.82019182799326,5.961707353591919,,-0.26907059503243413,-0.08821989399520286,raw_lidar_xy_decimated,791,2.5,3.7810078624599726,1.0,RANSAC terrain fitness improvement was below threshold,False,0.002422393998131156,19,solution,-162.78665161132812,-310.0521240234375,5.476531028747559,6.067978143377946,0.48517632484436035
darces,-139.91924239920587,-191.72043953386847,-337.6412173463392,7.3809075355529785,,-0.11321291098610253,-0.20742874228278402,raw_lidar_xy_decimated,1477,2.5,2.8992352070515324,1.0,RANSAC terrain fitness improvement was below threshold,False,0.0604230360040674,20,solution,-194.00518798828125,-337.96356201171875,6.880199909210205,2.307375475131915,0.5007076263427734
darces,-139.32506043473845,-209.3186372651199,-351.143968610201,6.030748724937439,,-0.09691062744051449,-0.08999452059315469,raw_lidar_xy_decimated,1023,2.5,0.18249340237233014,1.0,RANSAC terrain fitness improvement was below threshold,False,0.0055272750032600015,21,solution,-211.0142364501953,-352.2628173828125,5.4391608238220215,2.0314721687492296,0.5915879011154175
darces,-154.08416499755432,-233.65727000035378,-369.80913205845195,6.4810426235198975,,-0.08824951080291271,-0.09031273593916911,raw_lidar_xy_decimated,1251,2.5,0.5343570587620832,1.0,RANSAC terrain fitness improvement was below threshold,False,0.02185623100376688,22,solution,-236.06866455078125,-371.45111083984375,5.889065742492676,2.917347767471718,0.5919768810272217
darces,-159.92701239656543,-248.7244257392058,-381.1313968526248,6.716468572616577,,-0.20274277471853733,-0.041411662741900473,raw_lidar_xy_decimated,1292,2.5,0.9847366626306666,1.0,RANSAC terrain fitness improvement was below threshold,False,0.03721087500161957,23,solution,-252.51278686523438,-377.9277648925781,6.394556045532227,4.9613443497339444,0.3219125270843506
