cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,overlap,runtime_s,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
3,0,inf,inf,6,"[336, 341, 291, 333, 314, 351]","[6, 7, 0, 4, 1, 11]",15.757739825840428,0.3675603261608446,0.9953863643255071,3.8670391578251753,-6.240443697297465,-0.009536266326904297,1981,-0.23013521198722717,raw_lidar_xy_decimated,1403,2.5,1.2675902415638802,-0.27220387723835904,13,1.0,109.00052251100715,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,7.343177557076631,0.48611921072006226
5,0,inf,inf,7,"[444, 509, 520, 496, 450, 518, 492]","[0, 8, 3, 5, 1, 4, 9]",10.467780078427571,0.8621483469660668,-3.2171617598154767,-463.39783057974097,-127.58265779427748,9.346802711486816,1602,-0.5346901142407608,raw_lidar_xy_decimated,1272,2.5,1.285287011250233,-1.9318747485652559,11,1.0,93.59414009399188,2,solution,12.267229080200195,-0.6570590734481812,-0.8115395307540894,492.30819269227726,10.158342242240906
3,0,inf,inf,5,"[341, 351, 336, 291, 311]","[6, 10, 3, 0, 1]",7.983308836100399,0.31078955297390787,-41.891143203698725,23.62341780562359,-11.1796319410134,-0.02508866786956787,1922,-0.1947907598374681,raw_lidar_xy_decimated,2301,2.5,1.1729461598128808,-40.71819704388585,14,1.0,106.71409240399953,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,1.0211633411023775,0.512241542339325
3,0,inf,inf,7,"[209, 117, 241, 191, 159, 175, 107]","[5, 0, 6, 4, 2, 3, 1]",10.808632711516577,1.2951891205132118,-66.90317808183917,558.0547840667725,382.14644603681035,-11.851110696792603,538,-0.6015737381187519,raw_lidar_xy_decimated,1204,2.5,2.111843144779982,-64.79133493705918,7,1.0,25.018674898994504,4,solution,36.56502151489258,-34.223609924316406,-2.5595836639404297,667.3197104443177,9.291527032852173
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,1238,2.5,,-147.34555813717074,7,,22.7402020090085,5,no_solution,,,,,
4,0,inf,inf,7,"[291, 333, 311, 341, 314, 336, 366]","[0, 5, 1, 7, 2, 9, 16]",10.0191580811683,0.44874227338337014,-150.24956517205712,-3.5883992486284164,-55.900620033325,0.08674812316894531,1397,-0.21128220778247384,raw_lidar_xy_decimated,2826,2.5,0.9925489296002468,-149.25701624245687,17,1.0,104.8320890590112,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,4.082892456969871,0.5410779118537903
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,1504,2.5,,-109.2759993649763,4,,2.5071838580042822,7,no_solution,,,,,
,,,,,,,,,,,,,,,,,,,-114.39735521942477,1,,,8,skipped_insufficient_features,,,,,
,,,,,,,,,,,,,,,,,,,-104.79089921902104,1,,,9,skipped_insufficient_features,,,,,
2,0,inf,inf,3,"[435, 469, 381]","[2, 3, 0]",5.978528714367807,1.218384094148989,-112.94893728092327,-279.04374953027656,457.9005215437965,6.978790879249573,4,-1.6325242593786813,raw_lidar_xy_decimated,1622,2.5,1.2235288438905059,-111.72540843703277,4,1.0,2.0302418719948037,10,solution,-23.69623565673828,-150.10791015625,-0.596463680267334,659.4517464225468,7.575254559516907
2,0,inf,inf,4,"[433, 384, 404, 386]","[5, 2, 3, 1]",13.367605960554426,0.7512237831280587,-111.76088436319351,-327.77544986119216,-203.19305308785647,7.1239542961120605,20,-1.1739842550109079,raw_lidar_xy_decimated,1640,2.5,1.22247711708971,-110.5384072461038,6,1.0,6.119517049999558,11,solution,-26.17138671875,-156.74221801757812,-0.03909933567047119,305.1601071286292,7.163053631782532
5,0,inf,inf,8,"[333, 366, 281, 378, 376, 311, 341, 291]","[5, 9, 0, 10, 11, 2, 8, 1]",11.973413391666906,0.7940640974675378,-93.54868197390444,-24.402030732816094,-176.6335605631396,1.7934696674346924,2039,-0.1765529460224476,raw_lidar_xy_decimated,1756,2.5,2.1625948632936343,-95.71127683719807,12,1.0,93.2050799580029,12,solution,-27.199756622314453,-174.37538146972656,1.2406376600265503,3.5953640943160625,0.5528320074081421
3,0,inf,inf,4,"[333, 378, 366, 281]","[1, 6, 4, 0]",3.96198629966299,1.1314773382537102,-98.57261603575826,-29.27574735848152,-200.42570380381068,3.370391845703125,764,-0.14462925945728675,raw_lidar_xy_decimated,1496,2.5,1.220968209671497,-99.79358424542976,9,1.0,48.53988725300587,13,solution,-30.75284194946289,-198.97962951660156,2.7760562896728516,2.0671089170224604,0.5943355560302734
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,1827,2.5,,-131.9409613661199,15,,32.862627348993556,14,no_solution,,,,,
