resolution,stage,available,total_sites,availability_percent,median_xy_error_m,mean_xy_error_m,rmse_xy_m,maximum_xy_error_m,within_50m,within_50m_percent_of_available
0p25m,DARCES,0,28,0.0,,,,,0,
0p25m,RANSAC,0,28,0.0,,,,,0,
0p25m,MOGA,0,28,0.0,,,,,0,
0p5m,DARCES,7,28,25.0,4.1972293321164855,245.16208031250977,524.9123678468975,1350.54255713244,5,71.42857142857143
0p5m,RANSAC,7,28,25.0,4.1972293321164855,244.45138119265548,523.083999715103,1345.5676632934599,5,71.42857142857143
0p5m,MOGA,7,28,25.0,7.04217531151917,245.14066159575006,523.235833899595,1345.8598558221083,5,71.42857142857143
1m,DARCES,16,28,57.142857142857146,228.415964855344,345.9453250311599,545.7802764106476,1432.6203524880948,7,43.75
1m,RANSAC,16,28,57.142857142857146,228.415964855344,346.0465538925305,545.8290562463065,1432.6203524880948,7,43.75
1m,MOGA,16,28,57.142857142857146,225.31728109770182,346.21241171536525,545.4867235814762,1434.608209130835,7,43.75
2m,DARCES,18,28,64.28571428571429,68.41232410624012,244.21791096793652,379.1604834088361,953.4803512086344,9,50.0
2m,RANSAC,18,28,64.28571428571429,68.41232410624012,244.3088571023626,379.22251207413717,953.4803512086344,9,50.0
2m,MOGA,18,28,64.28571428571429,68.10706044125799,244.77071847116434,379.7242284438139,954.8858327856175,9,50.0
5m,DARCES,21,28,75.0,4.9613443497339444,152.51433172783172,272.9508061527995,667.3197104443177,13,61.904761904761905
5m,RANSAC,21,28,75.0,4.9613443497339444,152.09335825699503,272.6745639020101,667.3197104443177,13,61.904761904761905
5m,MOGA,21,28,75.0,6.260240576107143,153.20009416985263,272.3908425885804,666.113486188332,13,61.904761904761905
10m,DARCES,17,28,60.714285714285715,498.3051487655274,469.4058425701915,621.8964125778533,1155.7087102473145,6,35.294117647058826
10m,RANSAC,17,28,60.714285714285715,498.3051487655274,469.04452077870036,621.8623374950702,1155.7087102473145,6,35.294117647058826
10m,MOGA,16,28,57.142857142857146,447.25354018187124,453.86949661854163,615.0717981503226,1152.730190488434,6,37.5
